target_family,organism_group,target_organism,record_count,unique_targets,unique_compounds,family_record_count,percent_of_family_records
Monoamine oxidases,Non-human,Rattus norvegicus,519,2,245,1618,32.07663782447466
Monoamine oxidases,Non-human,Bos taurus,51,2,39,1618,3.15203955500618
Monoamine oxidases,Non-human,Mus musculus,5,2,3,1618,0.3090234857849196
Nuclear receptors,Human,Homo sapiens,573,22,327,594,96.46464646464646
Nuclear receptors,Non-human,Rattus norvegicus,21,1,21,594,3.535353535353535
Other enzymes,Human,Homo sapiens,1312,122,784,2130,61.5962441314554
Other enzymes,Non-human,Human immunodeficiency virus 1,192,2,137,2130,9.014084507042254
Other enzymes,Non-human,Rattus norvegicus,127,12,94,2130,5.962441314553991
Other enzymes,Non-human,Escherichia coli K-12,59,2,30,2130,2.7699530516431925
Other enzymes,Non-human,Escherichia coli,54,1,30,2130,2.535211267605634
Other enzymes,Non-human,Staphylococcus aureus,52,3,32,2130,2.4413145539906105
Other enzymes,Non-human,Mycobacterium tuberculosis,45,7,42,2130,2.112676056338028
Other enzymes,Non-human,Pseudomonas aeruginosa,41,2,25,2130,1.9248826291079808
Other enzymes,Non-human,Bos taurus,29,5,29,2130,1.3615023474178405
Other enzymes,Non-human,Ovis aries,29,2,26,2130,1.3615023474178405
Other enzymes,Non-human,Canavalia ensiformis,28,1,27,2130,1.3145539906103283
Other enzymes,Non-human,Bacillus anthracis,22,1,22,2130,1.0328638497652582
Other enzymes,Non-human,Glycine max,18,2,18,2130,0.8450704225352111
Other enzymes,Non-human,Photinus pyralis,18,1,9,2130,0.8450704225352111
Other enzymes,Non-human,Cryptosporidium parvum,13,1,13,2130,0.6103286384976526
Other enzymes,Non-human,Streptococcus agalactiae serotype V (strain ATCC BAA-611 / 2603 V/R),9,1,9,2130,0.4225352112676055
Other enzymes,Non-human,Plasmodium falciparum,8,2,8,2130,0.3755868544600939
Other enzymes,Non-human,Thermus aquaticus,8,1,8,2130,0.3755868544600939
Other enzymes,Non-human,Trypanosoma cruzi,8,2,6,2130,0.3755868544600939
Other enzymes,Non-human,Agaricus bisporus,7,1,5,2130,0.3286384976525821
Other enzymes,Non-human,Alicyclobacillus acidocaldarius subsp. acidocaldarius (strain ATCC27009 / DSM 446 / 104-1A) (Bacillus acidocaldarius),7,1,7,2130,0.3286384976525821
Other enzymes,Non-human,Mus musculus,6,2,5,2130,0.2816901408450704
Other enzymes,Non-human,Saccharomyces cerevisiae S288c,5,3,3,2130,0.2347417840375587
Other enzymes,Non-human,Sus scrofa domesticus,4,1,4,2130,0.1877934272300469
Other enzymes,Non-human,Salmonella choleraesuis (strain SC-B67),3,1,3,2130,0.1408450704225352
Other enzymes,Non-human,Bacteria,2,1,2,2130,0.0938967136150234
Other enzymes,Non-human,Cochliobolus lunatus,2,1,1,2130,0.0938967136150234
Other enzymes,Non-human,Danio rerio,2,1,1,2130,0.0938967136150234
Other enzymes,Non-human,Influenza A virus (strain A/Puerto Rico/8/1934 H1N1),2,1,2,2130,0.0938967136150234
Other enzymes,Non-human,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),2,1,2,2130,0.0938967136150234
Other enzymes,Non-human,Oryctolagus cuniculus,2,1,2,2130,0.0938967136150234
Other enzymes,Non-human,Plasmodium berghei,2,1,2,2130,0.0938967136150234
Other enzymes,Non-human,Sus scrofa,2,1,1,2130,0.0938967136150234
Other enzymes,Non-human,Trypanosoma brucei,2,1,2,2130,0.0938967136150234
Other enzymes,Non-human,Candida albicans,1,1,1,2130,0.0469483568075117
Other enzymes,Non-human,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),1,1,1,2130,0.0469483568075117
Other enzymes,Non-human,Cavia cutleri,1,1,1,2130,0.0469483568075117
Other enzymes,Non-human,Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4),1,1,1,2130,0.0469483568075117
Other enzymes,Non-human,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),1,1,1,2130,0.0469483568075117
Other enzymes,Non-human,Mycobacterium smegmatis,1,1,1,2130,0.0469483568075117
Other enzymes,Non-human,Plasmodium falciparum (isolate 3D7),1,1,1,2130,0.0469483568075117
Other enzymes,Non-human,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1,1,1,2130,0.0469483568075117
Other/unclassified,Human,Homo sapiens,653,83,382,820,79.63414634146342
Other/unclassified,Non-human,Mus musculus,21,8,20,820,2.5609756097560976
Other/unclassified,Non-human,Candida albicans (strain WO-1) (Yeast),18,1,16,820,2.195121951219512
Other/unclassified,Non-human,Nicotiana tabacum,15,1,15,820,1.829268292682927
Other/unclassified,Non-human,Bos taurus,14,1,14,820,1.707317073170732
Other/unclassified,Non-human,Caenorhabditis elegans,12,3,8,820,1.4634146341463417
Other/unclassified,Non-human,Mycobacterium tuberculosis,11,3,10,820,1.3414634146341464
Other/unclassified,Non-human,Saccharomyces cerevisiae S288c,11,4,8,820,1.3414634146341464
Other/unclassified,Non-human,Human immunodeficiency virus 1,8,1,8,820,0.975609756097561
Other/unclassified,Non-human,Herpes simplex virus (type 1 / strain 17),7,1,7,820,0.853658536585366
Other/unclassified,Non-human,Plasmodium falciparum 3D7,6,1,6,820,0.7317073170731708
Other/unclassified,Non-human,Rattus norvegicus,5,2,4,820,0.6097560975609756
Other/unclassified,Non-human,Human herpesvirus 4 (strain B95-8),4,1,4,820,0.4878048780487805
Other/unclassified,Non-human,Human herpesvirus 8,4,1,4,820,0.4878048780487805
Other/unclassified,Non-human,Sus scrofa,4,3,4,820,0.4878048780487805
Other/unclassified,Non-human,Escherichia coli K-12,3,2,2,820,0.3658536585365854
Other/unclassified,Non-human,Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)(HIV-1),3,1,3,820,0.3658536585365854
Other/unclassified,Non-human,Severe acute respiratory syndrome coronavirus 2,3,1,3,820,0.3658536585365854
Other/unclassified,Non-human,Staphylococcus aureus,3,2,3,820,0.3658536585365854
Other/unclassified,Non-human,Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656/ NCTC 13227 / J2315 / CF5610) (Burkholderia cepacia (strain J2315)),2,1,2,820,0.2439024390243902
Other/unclassified,Non-human,Hepatitis C virus,2,2,2,820,0.2439024390243902
Other/unclassified,Non-human,Pseudomonas aeruginosa (strain LESB58),2,1,1,820,0.2439024390243902
Other/unclassified,Non-human,Bacillus anthracis,1,1,1,820,0.1219512195121951
Other/unclassified,Non-human,Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM4680),1,1,1,820,0.1219512195121951
Other/unclassified,Non-human,Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4),1,1,1,820,0.1219512195121951
Other/unclassified,Non-human,Influenza A virus,1,1,1,820,0.1219512195121951
Other/unclassified,Non-human,Mesocricetus auratus,1,1,1,820,0.1219512195121951
Other/unclassified,Non-human,Plasmodium falciparum,1,1,1,820,0.1219512195121951
Other/unclassified,Non-human,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),1,1,1,820,0.1219512195121951
Other/unclassified,Non-human,Vibrio harveyi,1,1,1,820,0.1219512195121951
Other/unclassified,Non-human,dengue virus type 2,1,1,1,820,0.1219512195121951
Proteases,Human,Homo sapiens,338,35,246,543,62.24677716390424
Proteases,Non-human,Human immunodeficiency virus 1,96,2,84,543,17.67955801104972
Proteases,Non-human,Plasmodium falciparum FcB1/Columbia,43,1,43,543,7.918968692449356
Proteases,Non-human,Sus scrofa,23,2,23,543,4.23572744014733
Proteases,Non-human,Saccharomyces cerevisiae S288c,20,2,18,543,3.683241252302026
Proteases,Non-human,Bos taurus,13,2,13,543,2.394106813996317
Proteases,Non-human,Plasmodium falciparum 3D7,3,1,3,543,0.5524861878453038
Proteases,Non-human,Trypanosoma cruzi,3,1,2,543,0.5524861878453038
Proteases,Non-human,Infectious bronchitis virus,2,1,2,543,0.3683241252302026
Proteases,Non-human,Hathewaya histolytica,1,1,1,543,0.1841620626151013
Proteases,Non-human,Plasmodium falciparum,1,1,1,543,0.1841620626151013
