target_chembl_id,target_name,target_organism,record_count,unique_compounds,endpoint_types,dominant_endpoint,dominant_endpoint_record_count,dominant_endpoint_unique_compounds,endpoint_homogeneity,doi_count,dominant_endpoint_doi_count,year_min,year_max,pactivity_min,pactivity_max,pactivity_range,dominant_endpoint_pactivity_min,dominant_endpoint_pactivity_max,dominant_endpoint_pactivity_range,readiness_tier,ready_compound_count_pass,ready_endpoint_homogeneity_pass,ready_activity_range_pass,ready_doi_diversity_pass,curatable_compound_count_pass,curatable_endpoint_homogeneity_pass,curatable_activity_range_pass,curatable_doi_diversity_pass,target_family,organism_group,uniprot_accession,ready_criteria_pass_count,curatable_criteria_pass_count
CHEMBL3397,Cytochrome P450 2C9,Homo sapiens,79,68,AC50; IC50; Ki,AC50,52,52,0.6582278481012658,9,0,2000.0,2023.0,4.02,8.25,4.23,4.4,8.25,3.85,Curatable,0,0,1,1,1,1,1,1,Cytochrome P450s,Human,Q8WW80,2,4
CHEMBL273,5-hydroxytryptamine receptor 1A,Rattus norvegicus,71,66,EC50; IC50; Ki,Ki,65,62,0.9154929577464788,8,6,1998.0,2018.0,5.51,10.92,5.41,5.51,10.92,5.41,Curatable,0,1,1,1,1,1,1,1,G protein-coupled receptors,Non-human,P19327,3,4
CHEMBL322,5-hydroxytryptamine receptor 2A,Rattus norvegicus,64,64,Ki,Ki,64,64,1.0,3,3,2003.0,2014.0,5.51,9.52,4.01,5.51,9.52,4.01,Curatable,0,1,1,0,1,1,1,1,G protein-coupled receptors,Non-human,P14842,2,4
CHEMBL224,5-hydroxytryptamine receptor 2A,Homo sapiens,63,62,IC50; Ki,Ki,62,62,0.984126984126984,6,6,2013.0,2021.0,5.34,9.52,4.18,5.34,9.52,4.18,Curatable,0,1,1,1,1,1,1,1,G protein-coupled receptors,Human,Q5T8C0,3,4
CHEMBL230,Prostaglandin G/H synthase 2,Homo sapiens,60,60,IC50,IC50,60,60,1.0,6,6,2012.0,2021.0,4.09,7.05,2.96,4.09,7.05,2.96,Curatable,0,1,1,1,1,1,1,1,Other enzymes,Human,Q16876,3,4
CHEMBL339,D(2) dopamine receptor,Rattus norvegicus,59,59,IC50; Ki,Ki,58,58,0.9830508474576272,5,4,2003.0,2014.0,5.52,8.85,3.33,5.52,8.85,3.33,Curatable,0,1,1,1,1,1,1,1,G protein-coupled receptors,Non-human,P61169,3,4
CHEMBL3587,Dual specificity mitogen-activated protein kinase kinase 1,Homo sapiens,64,55,IC50; Kd,IC50,61,54,0.953125,10,8,2005.0,2024.0,3.56,8.3,4.74,4.43,8.3,3.870000000000001,Curatable,0,1,1,1,1,1,1,1,Kinases,Human,Q02750,3,4
CHEMBL219,D(4) dopamine receptor,Homo sapiens,70,51,IC50; Ki,Ki,67,51,0.9571428571428572,5,5,1997.0,2021.0,5.3,8.89,3.5900000000000007,5.3,8.82,3.5200000000000005,Curatable,0,1,1,1,1,1,1,1,G protein-coupled receptors,Human,Q8NGM5,3,4
CHEMBL3559,Steryl-sulfatase,Homo sapiens,100,50,IC50,IC50,100,50,1.0,36,36,1996.0,2024.0,4.05,9.17,5.12,4.05,9.17,5.12,Curatable,0,1,1,1,1,1,1,1,Other enzymes,Human,P08842,3,4
CHEMBL3471,Human immunodeficiency virus type 1 integrase,Human immunodeficiency virus 1,77,49,IC50,IC50,77,49,1.0,15,15,1997.0,2022.0,4.04,7.89,3.85,4.04,7.89,3.85,Curatable,0,1,1,1,1,1,1,1,Other enzymes,Non-human,Q7ZJM1,3,4
CHEMBL4822,Beta-secretase 1,Homo sapiens,65,45,IC50; Ki,IC50,58,44,0.8923076923076924,11,11,2006.0,2022.0,4.0,7.03,3.03,4.0,7.03,3.03,Curatable,0,1,1,1,1,1,1,1,Proteases,Human,P56817,3,4
CHEMBL1906,RAF proto-oncogene serine/threonine-protein kinase,Homo sapiens,48,43,IC50,IC50,48,43,1.0,4,4,2013.0,2022.0,4.57,8.4,3.83,4.57,8.4,3.83,Curatable,0,1,1,0,1,1,1,1,Kinases,Human,P04049,2,4
CHEMBL3623,NAD(P)H dehydrogenase [quinone] 1,Homo sapiens,81,41,EC50; IC50,IC50,80,41,0.9876543209876544,5,5,2006.0,2018.0,4.2,9.74,5.54,4.2,9.74,5.54,Curatable,0,1,1,1,1,1,1,1,Other enzymes,Human,Q86UK1,3,4
CHEMBL340,Cytochrome P450 3A4,Homo sapiens,84,76,AC50; IC50; Ki,AC50,48,48,0.5714285714285714,12,0,2005.0,2023.0,4.23,7.19,2.96,4.4,6.4,2.0,Exploratory,0,0,0,1,1,0,1,1,Cytochrome P450s,Human,P08684,1,3
CHEMBL1293267,G-protein coupled receptor 35,Homo sapiens,189,61,EC50; IC50; Ki,IC50,96,60,0.5079365079365079,5,3,2012.0,2023.0,4.0,9.51,5.51,4.0,9.33,5.33,Exploratory,0,0,1,1,1,0,1,1,G protein-coupled receptors,Human,Q9HC97,2,3
CHEMBL1871,Androgen receptor,Homo sapiens,102,57,EC50; IC50; Ki,IC50,61,54,0.5980392156862745,9,8,1999.0,2022.0,4.3,9.7,5.4,4.3,9.7,5.4,Exploratory,0,0,1,1,1,0,1,1,Nuclear receptors,Human,P10275,2,3
CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,89,55,IC50; Ki,IC50,53,53,0.5955056179775281,2,1,2016.0,2021.0,4.08,6.68,2.6,4.08,5.96,1.88,Exploratory,0,0,0,0,1,0,1,0,Other/unclassified,Human,Q07820,0,2
CHEMBL4879514,Microtubule-associated proteins 1A/1B light chain 3B,Homo sapiens,55,46,IC50; Kd; Ki,Ki,44,44,0.8,2,1,2021.0,2024.0,4.01,6.7,2.6900000000000004,4.05,5.38,1.33,Exploratory,0,1,0,0,1,1,0,0,Other/unclassified,Human,Q9GZQ8,1,2
CHEMBL4879518,Microtubule-associated proteins 1A/1B light chain 3A,Homo sapiens,61,44,IC50; Kd; Ki,Ki,44,44,0.7213114754098361,1,1,2021.0,2021.0,4.04,5.55,1.5099999999999998,4.08,5.48,1.4000000000000004,Exploratory,0,0,0,0,1,1,0,0,Other/unclassified,Human,Q9H492,0,2
CHEMBL4117,Aminopeptidase N,Plasmodium falciparum FcB1/Columbia,43,43,IC50,IC50,43,43,1.0,0,0,,,4.13,5.01,0.8799999999999999,4.13,5.01,0.8799999999999999,Exploratory,0,1,0,0,1,1,0,0,Proteases,Non-human,Q8IEK1,1,2
CHEMBL4739844,Immunoglobulin lambda variable 6-57,Homo sapiens,79,41,EC50,EC50,79,41,1.0,1,1,2021.0,2021.0,4.58,8.41,3.83,4.58,8.41,3.83,Exploratory,0,1,1,0,1,1,1,0,Other/unclassified,Human,P06319,2,3
CHEMBL2821,Coagulation factor XII,Homo sapiens,43,40,IC50; Ki,IC50,32,29,0.7441860465116279,5,5,2008.0,2023.0,4.38,7.21,2.83,4.38,5.37,0.9900000000000002,Exploratory,0,0,0,1,1,1,0,1,Proteases,Human,P78339,1,3
CHEMBL2916,Telomerase reverse transcriptase,Homo sapiens,42,39,IC50,IC50,42,39,1.0,7,7,2010.0,2023.0,4.23,6.09,1.8599999999999997,4.23,6.09,1.8599999999999997,Exploratory,0,1,0,1,0,1,1,1,Other enzymes,Human,Q8NG46,2,3
CHEMBL2756,Amine oxidase [flavin-containing] B,Bos taurus,39,39,Ki,Ki,39,39,1.0,2,2,2006.0,2012.0,5.2,6.32,1.12,5.2,6.32,1.12,Exploratory,0,1,0,0,0,1,0,0,Monoamine oxidases,Non-human,Q864W3,1,1
CHEMBL221,Prostaglandin G/H synthase 1,Homo sapiens,39,39,IC50,IC50,39,39,1.0,5,5,2005.0,2018.0,4.01,4.58,0.5700000000000003,4.01,4.58,0.5700000000000003,Exploratory,0,1,0,1,0,1,0,1,Other enzymes,Human,Q5T7T8,2,2
CHEMBL218,Cannabinoid receptor 1,Homo sapiens,55,39,EC50; Ki,Ki,50,39,0.9090909090909092,4,4,2009.0,2021.0,4.68,7.66,2.9800000000000004,4.68,7.66,2.9800000000000004,Exploratory,0,1,1,0,0,1,1,1,G protein-coupled receptors,Human,Q9UNN0,2,3
CHEMBL5979,"Alkaline phosphatase, tissue-nonspecific isozyme",Homo sapiens,38,38,IC50,IC50,38,38,1.0,2,2,2017.0,2023.0,4.59,6.6,2.01,4.59,6.6,2.01,Exploratory,0,1,0,0,0,1,1,0,Other enzymes,Human,Q9UBK0,1,2
CHEMBL1075322,G-protein coupled receptor 55,Homo sapiens,38,38,EC50; IC50,IC50,33,33,0.868421052631579,1,1,2013.0,2013.0,4.79,6.95,2.16,4.87,6.95,2.08,Exploratory,0,1,0,0,0,1,1,0,G protein-coupled receptors,Human,Q9Y2T6,1,2
CHEMBL1795098,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,Homo sapiens,37,37,IC50,IC50,37,37,1.0,0,0,,,4.49,5.7,1.21,4.49,5.7,1.21,Exploratory,0,1,0,0,0,1,0,0,Other enzymes,Human,Q9GZU7,1,1
CHEMBL5939,Endoplasmic reticulum aminopeptidase 1,Homo sapiens,37,37,AC50,AC50,37,37,1.0,0,0,,,4.9,5.84,0.9399999999999996,4.9,5.84,0.9399999999999996,Exploratory,0,1,0,0,0,1,0,0,Proteases,Human,Q9UKY2,1,1
CHEMBL4234,17-beta-hydroxysteroid dehydrogenase type 3,Homo sapiens,36,36,IC50,IC50,36,36,1.0,1,1,2010.0,2010.0,5.0,8.82,3.82,5.0,8.82,3.82,Exploratory,0,1,1,0,0,1,1,0,Other enzymes,Human,Q5U0Q6,2,2
CHEMBL4306,Potassium voltage-gated channel subfamily A member 5,Homo sapiens,37,35,EC50; IC50,EC50,34,34,0.918918918918919,3,0,2006.0,2023.0,4.92,8.11,3.1899999999999995,4.92,8.0,3.08,Exploratory,0,1,1,0,0,1,1,1,Ion channels and transporters,Human,Q9UDA4,2,3
CHEMBL5508,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Rattus norvegicus,35,35,AC50; IC50,AC50,21,21,0.6,1,0,2012.0,2012.0,4.58,7.17,2.59,4.58,6.1,1.5199999999999996,Exploratory,0,0,0,0,0,1,1,0,Kinases,Non-human,Q63470,0,2
CHEMBL5573,Intestinal-type alkaline phosphatase,Homo sapiens,33,32,IC50,IC50,33,32,1.0,1,1,2017.0,2017.0,4.69,5.96,1.2699999999999996,4.69,5.96,1.2699999999999996,Exploratory,0,1,0,0,0,1,0,0,Other enzymes,Human,Q9UCL2,1,1
CHEMBL256,Adenosine receptor A3,Homo sapiens,41,32,AC50; IC50; Ki,Ki,34,30,0.8292682926829268,3,2,2020.0,2023.0,4.53,6.59,2.06,4.63,6.59,1.96,Exploratory,0,1,0,0,0,1,1,1,G protein-coupled receptors,Human,Q9BYZ1,1,3
CHEMBL2414,C-C chemokine receptor type 4,Homo sapiens,31,31,IC50,IC50,31,31,1.0,1,1,2010.0,2010.0,4.23,7.67,3.4399999999999995,4.23,7.67,3.4399999999999995,Exploratory,0,1,1,0,0,1,1,0,G protein-coupled receptors,Human,Q9ULY7,2,2
CHEMBL4302,ATP-dependent translocase ABCB1,Homo sapiens,31,31,IC50,IC50,31,31,1.0,5,5,2014.0,2020.0,4.36,7.16,2.8,4.36,7.16,2.8,Exploratory,0,1,1,1,0,1,1,1,Ion channels and transporters,Human,Q14812,3,3
CHEMBL3251,Nuclear factor NF-kappa-B p105 subunit,Homo sapiens,31,31,EC50; IC50,EC50,24,24,0.7741935483870968,2,1,2010.0,2013.0,4.0,5.6,1.5999999999999996,4.0,5.0,1.0,Exploratory,0,0,0,0,0,1,0,0,Other/unclassified,Human,Q9NZC0,0,1
CHEMBL4005,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Homo sapiens,30,30,IC50,IC50,30,30,1.0,5,5,2019.0,2024.0,4.28,8.68,4.4,4.28,8.68,4.4,Exploratory,0,1,1,1,0,1,1,1,Kinases,Human,P42336,3,3
CHEMBL1895,DNA topoisomerase 4 subunit A,Escherichia coli K-12,30,30,IC50,IC50,30,30,1.0,1,1,2019.0,2019.0,4.53,7.0,2.47,4.53,7.0,2.47,Exploratory,0,1,0,0,0,1,1,0,Other enzymes,Non-human,Q2M9I1,1,2
CHEMBL1826,DNA gyrase subunit B,Escherichia coli,54,30,IC50; Kd; Ki,IC50,51,29,0.9444444444444444,4,2,2008.0,2018.0,5.5,8.92,3.42,5.5,7.77,2.27,Exploratory,0,1,0,0,0,1,1,1,Other enzymes,Non-human,Q2M811,1,3
CHEMBL1858,DNA gyrase subunit A,Escherichia coli K-12,29,29,IC50,IC50,29,29,1.0,1,1,2019.0,2019.0,4.18,7.4,3.2200000000000006,4.18,7.4,3.2200000000000006,Exploratory,0,1,1,0,0,1,1,0,Other enzymes,Non-human,P0AES4,2,2
CHEMBL4523503,Chloride anion exchanger,Mus musculus,50,29,IC50,IC50,50,29,1.0,1,1,2019.0,2021.0,4.75,7.64,2.89,4.75,7.64,2.89,Exploratory,0,1,1,0,0,1,1,0,Ion channels and transporters,Non-human,Q9WVC8,2,2
CHEMBL2085,Macrophage migration inhibitory factor,Homo sapiens,54,29,IC50; Kd; Ki,Ki,33,26,0.6111111111111112,6,4,2001.0,2020.0,4.19,7.8,3.61,4.9,7.15,2.25,Exploratory,0,0,0,1,0,1,1,1,Other/unclassified,Human,P14174,1,3
CHEMBL215,Polyunsaturated fatty acid 5-lipoxygenase,Homo sapiens,52,28,IC50,IC50,52,28,1.0,8,8,1992.0,2022.0,4.44,9.3,4.86,4.44,9.3,4.86,Exploratory,0,1,1,1,0,1,1,1,Other enzymes,Human,Q5JQ14,3,3
CHEMBL2424506,DNA gyrase subunit A,Staphylococcus aureus,28,28,IC50,IC50,28,28,1.0,1,1,2019.0,2019.0,4.36,6.1,1.739999999999999,4.36,6.1,1.739999999999999,Exploratory,0,1,0,0,0,1,1,0,Other enzymes,Non-human,P20831,1,2
CHEMBL3912,Carbonic anhydrase 13,Homo sapiens,28,28,Ki,Ki,28,28,1.0,3,3,2010.0,2013.0,4.02,5.5,1.4800000000000004,4.02,5.5,1.4800000000000004,Exploratory,0,1,0,0,0,1,0,1,Carbonic anhydrases,Human,Q8N1Q1,1,2
CHEMBL4768,Acetylcholinesterase,Bos taurus,29,28,IC50; Ki,IC50,28,28,0.9655172413793104,3,3,2008.0,2013.0,4.18,9.0,4.82,4.18,9.0,4.82,Exploratory,0,1,1,0,0,1,1,1,Cholinesterases,Non-human,Q08D79,2,3
CHEMBL289,Cytochrome P450 2D6,Homo sapiens,29,28,AC50; IC50,AC50,22,22,0.7586206896551724,6,0,2003.0,2023.0,4.13,7.3,3.17,4.6,7.3,2.7,Exploratory,0,0,1,1,0,1,1,1,Cytochrome P450s,Human,Q6NXU8,2,3
CHEMBL3229,Fatty-acid amide hydrolase 1,Rattus norvegicus,54,27,IC50,IC50,54,27,1.0,3,3,2012.0,2022.0,5.04,8.88,3.8400000000000007,5.04,8.88,3.8400000000000007,Exploratory,0,1,1,0,0,1,1,1,Other enzymes,Non-human,Q5BKA3,2,3
CHEMBL3130,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Homo sapiens,27,27,IC50,IC50,27,27,1.0,3,3,2009.0,2019.0,4.17,6.92,2.75,4.17,6.92,2.75,Exploratory,0,1,1,0,0,1,1,1,Kinases,Human,Q5SR49,2,3
CHEMBL1293228,Streptokinase A,Streptococcus pyogenes serotype M1,37,27,EC50,EC50,37,27,1.0,0,0,,,4.29,6.95,2.66,4.29,6.95,2.66,Exploratory,0,1,1,0,0,1,1,0,Kinases,Non-human,Q48WH3,2,2
CHEMBL4161,Urease,Canavalia ensiformis,28,27,IC50,IC50,28,27,1.0,3,3,2008.0,2022.0,4.04,6.45,2.41,4.04,6.45,2.41,Exploratory,0,1,0,0,0,1,1,1,Other enzymes,Non-human,P07374,1,3
CHEMBL5282,Cytochrome P450 2A6,Homo sapiens,41,27,IC50; Kd; Ki,Ki,32,27,0.7804878048780488,4,4,2005.0,2023.0,4.57,10.24,5.67,4.57,10.24,5.67,Exploratory,0,0,1,0,0,1,1,1,Cytochrome P450s,Human,Q9UK48,1,3
CHEMBL3145,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Homo sapiens,26,26,IC50,IC50,26,26,1.0,3,3,2009.0,2019.0,4.17,6.92,2.75,4.17,6.92,2.75,Exploratory,0,1,1,0,0,1,1,1,Kinases,Human,Q24JU2,2,3
CHEMBL3267,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Homo sapiens,26,26,IC50,IC50,26,26,1.0,2,2,2019.0,2019.0,4.37,7.09,2.72,4.37,7.09,2.72,Exploratory,0,1,1,0,0,1,1,0,Kinases,Human,P48736,2,2
CHEMBL203,Epidermal growth factor receptor,Homo sapiens,33,25,IC50,IC50,33,25,1.0,8,8,2007.0,2024.0,5.12,8.05,2.9300000000000006,5.12,8.05,2.9300000000000006,Exploratory,0,1,1,1,0,1,1,1,Kinases,Human,P00533,3,3
CHEMBL1293246,Beta Lactamase,Pseudomonas aeruginosa,38,25,IC50,IC50,38,25,1.0,0,0,,,4.41,6.28,1.87,4.41,6.28,1.87,Exploratory,0,1,0,0,0,1,1,0,Other enzymes,Non-human,Q932Y6,1,2
CHEMBL1900,Aldo-keto reductase family 1 member B1,Homo sapiens,24,24,IC50,IC50,24,24,1.0,3,3,2010.0,2017.0,4.13,7.01,2.88,4.13,7.01,2.88,Exploratory,0,1,1,0,0,1,1,1,Other enzymes,Human,P15121,2,3
CHEMBL3198,Acetylcholinesterase,Mus musculus,25,24,IC50,IC50,25,24,1.0,3,3,2014.0,2022.0,4.04,6.4,2.3600000000000003,4.04,6.4,2.3600000000000003,Exploratory,0,1,0,0,0,1,1,1,Cholinesterases,Non-human,P21836,1,3
CHEMBL1075138,Tyrosyl-DNA phosphodiesterase 1,Homo sapiens,26,24,IC50,IC50,26,24,1.0,3,3,2010.0,2020.0,4.65,7.0,2.35,4.65,7.0,2.35,Exploratory,0,1,0,0,0,1,1,1,Other enzymes,Human,Q9NZM8,1,3
CHEMBL251,Adenosine receptor A2a,Homo sapiens,26,24,AC50; IC50; Ki,Ki,24,24,0.9230769230769232,4,3,2016.0,2023.0,4.19,6.13,1.9399999999999995,4.19,6.13,1.9399999999999995,Exploratory,0,1,0,0,0,1,1,1,G protein-coupled receptors,Human,P29274,1,3
CHEMBL1163101,Serine/threonine-protein kinase/endoribonuclease IRE1,Homo sapiens,36,24,EC50; IC50; Kd,IC50,32,21,0.8888888888888888,2,1,2014.0,2019.0,4.79,7.33,2.54,4.79,7.33,2.54,Exploratory,0,1,1,0,0,1,1,0,Kinases,Human,Q59EE2,2,2
CHEMBL3706,Disintegrin and metalloproteinase domain-containing protein 17,Homo sapiens,37,23,IC50,IC50,37,23,1.0,3,3,1999.0,2010.0,4.91,9.57,4.66,4.91,9.57,4.66,Exploratory,0,1,1,0,0,1,1,1,Proteases,Human,P78536,2,3
CHEMBL3621036,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",Homo sapiens,23,23,IC50,IC50,23,23,1.0,2,2,2019.0,2019.0,5.42,8.2,2.78,5.42,8.2,2.78,Exploratory,0,1,1,0,0,1,1,0,Other enzymes,Human,Q7Z650,2,2
