panel,target_chembl_id,record_count,unique_compounds,target_name,target_organism,uniprot_accession,endpoint_types,dominant_endpoint,endpoint_homogeneity,doi_count,year_min,year_max,pchembl_min,pchembl_max,pchembl_range,display_label,degree_bin,compound_count,percent_of_compounds,molecule_chembl_id,chembl_target_degree,pains_alerts,target_ids,target_names,target_organisms,canonical_smiles,pains_flag,endpoint,percent_of_core_records,metric,value,notes
B_degree_distribution,,,,,,,,,,,,,,,,,1,3021.0,56.0482,,,,,,,,,,,,,
B_degree_distribution,,,,,,,,,,,,,,,,,2,1424.0,26.4193,,,,,,,,,,,,,
B_degree_distribution,,,,,,,,,,,,,,,,,3-4,724.0,13.4323,,,,,,,,,,,,,
B_degree_distribution,,,,,,,,,,,,,,,,,5-9,191.0,3.5436,,,,,,,,,,,,,
B_degree_distribution,,,,,,,,,,,,,,,,,>=10,30.0,0.5566,,,,,,,,,,,,,
C_high_degree_coumarins,,85.0,,,,,Ki; IC50; EC50; Kd,IC50,,32.0,1994.0,2024.0,4.0,7.7,3.7,,,,,CHEMBL6246,71.0,catechol_A(92),CHEMBL3629; CHEMBL1075126; CHEMBL4680034; CHEMBL5542; CHEMBL5391; CHEMBL1293267; CHEMBL1293258; CHEMBL2622; CHEMBL1900; CHEMBL1957; CHEMBL4128; CHEMBL1641347; ...(+59 more),Casein kinase II subunit alpha; Pyruvate kinase PKLR; 5'-nucleotidase; DNA polymerase eta; DNA polymerase iota; G-protein coupled receptor 35; Mothers against decapentaplegic homolog 3; Aldo-keto reductase family 1 member B1; Insulin-like growth factor 1 receptor; Angiopoietin-1 receptor; Solute carrier family 22 member 6; Proto-oncogene tyrosine-protein kinase Src; ...(+56 more),Homo sapiens; Mus musculus; Rattus norvegicus; Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast); Human immunodeficiency virus 1; Trypanosoma cruzi; Plasmodium falciparum,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,PAINS alert,,,,,
C_high_degree_coumarins,,19.0,,,,,IC50; Ki,Ki,,6.0,2000.0,2024.0,4.03,8.77,4.74,,,,,CHEMBL145781,16.0,none,CHEMBL2039; CHEMBL2993; CHEMBL1945; CHEMBL1951; CHEMBL3594; CHEMBL5973; CHEMBL3510; CHEMBL3729; CHEMBL3242; CHEMBL3358; CHEMBL2186; CHEMBL2885; ...(+4 more),Amine oxidase [flavin-containing] B; Melatonin receptor type 1A; Amine oxidase [flavin-containing] A; Carbonic anhydrase 9; Carbonic anhydrase 15; Carbonic anhydrase 14; Carbonic anhydrase 4; Carbonic anhydrase 12; Carbonic anhydrase 13; Carbonic anhydrase 3; Carbonic anhydrase 7; Carbonic anhydrase 1; ...(+2 more),Homo sapiens; Rattus norvegicus; Mus musculus,O=c1ccc2ccc(OCc3ccccc3)cc2o1,No PAINS alert,,,,,
C_high_degree_coumarins,,31.0,,,,,Ki,Ki,,4.0,2010.0,2013.0,4.02,7.31,3.29,,,,,CHEMBL572366,15.0,none,CHEMBL1293200; CHEMBL205; CHEMBL261; CHEMBL2326; CHEMBL5973; CHEMBL3729; CHEMBL2885; CHEMBL3025; CHEMBL3510; CHEMBL3912; CHEMBL3969; CHEMBL3242; ...(+3 more),"Zn finger protein; Carbonic anhydrase 2; Carbonic anhydrase 1; Carbonic anhydrase 7; Carbonic anhydrase 15; Carbonic anhydrase 4; Carbonic anhydrase 3; Carbonic anhydrase 6; Carbonic anhydrase 14; Carbonic anhydrase 13; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 12; ...(+2 more)",Nicotiana tabacum; Homo sapiens; Mus musculus,COc1cc2oc(=O)ccc2cc1[C@@H](O)CC(C)C,No PAINS alert,,,,,
C_high_degree_coumarins,,27.0,,,,,Ki; IC50; AC50; EC50,IC50,,16.0,2000.0,2023.0,4.22,9.0,4.78,,,,,CHEMBL1466,15.0,none,CHEMBL3091269; CHEMBL3623; CHEMBL3397; CHEMBL1293267; CHEMBL2232; CHEMBL2622; CHEMBL4040; CHEMBL340; CHEMBL288; CHEMBL3622; CHEMBL3356; CHEMBL4161; ...(+3 more),"NAD(P)H dehydrogenase [quinone] 1; Cytochrome P450 2C9; G-protein coupled receptor 35; Proprotein convertase subtilisin/kexin type 7; Aldo-keto reductase family 1 member B1; Mitogen-activated protein kinase 1; Cytochrome P450 3A4; 3',5'-cyclic-AMP phosphodiesterase 4D; Cytochrome P450 2C19; Cytochrome P450 1A2; Urease; Bile salt export pump; ...(+2 more)",Rattus norvegicus; Homo sapiens; Canavalia ensiformis; Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4); Mycobacterium tuberculosis,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,No PAINS alert,,,,,
C_high_degree_coumarins,,19.0,,,,,Ki; IC50,Ki,,2.0,2013.0,2021.0,5.59,9.52,3.93,,,,,CHEMBL2387229,15.0,none,CHEMBL322; CHEMBL224; CHEMBL339; CHEMBL217; CHEMBL273; CHEMBL214; CHEMBL234; CHEMBL3138; CHEMBL3371; CHEMBL3943; CHEMBL231; CHEMBL240; ...(+3 more),5-hydroxytryptamine receptor 2A; D(2) dopamine receptor; 5-hydroxytryptamine receptor 1A; D(3) dopamine receptor; 5-hydroxytryptamine receptor 6; Histamine H1 receptor; Voltage-gated inwardly rectifying potassium channel KCNH2; 5-hydroxytryptamine receptor 2C; Alpha-1A adrenergic receptor,Rattus norvegicus; Homo sapiens; Cavia porcellus,Cc1cc(=O)oc2c(Cl)c(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc12,No PAINS alert,,,,,
C_high_degree_coumarins,,39.0,,,,,IC50; Ki,IC50,,23.0,2001.0,2024.0,5.46,8.97,3.51,,,,,CHEMBL286738,14.0,none,CHEMBL3559; CHEMBL3242; CHEMBL205; CHEMBL2326; CHEMBL3729; CHEMBL3594; CHEMBL1978; CHEMBL3025; CHEMBL3969; CHEMBL3510; CHEMBL4789; CHEMBL1865; ...(+2 more),"Steryl-sulfatase; Carbonic anhydrase 12; Carbonic anhydrase 2; Carbonic anhydrase 7; Carbonic anhydrase 4; Carbonic anhydrase 9; Aromatase; Carbonic anhydrase 6; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 14; Carbonic anhydrase 5A, mitochondrial; Histone deacetylase 6; ...(+2 more)",Homo sapiens; Mus musculus,NS(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3,No PAINS alert,,,,,
C_high_degree_coumarins,,15.0,,,,,IC50; Ki; EC50,Ki,,3.0,2010.0,2017.0,4.0,7.76,3.76,,,,,CHEMBL83294,14.0,none,CHEMBL2039; CHEMBL3242; CHEMBL4789; CHEMBL2326; CHEMBL3594; CHEMBL2885; CHEMBL3510; CHEMBL5973; CHEMBL261; CHEMBL3729; CHEMBL2186; CHEMBL3969; ...(+2 more),"Amine oxidase [flavin-containing] B; Carbonic anhydrase 12; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 7; Carbonic anhydrase 9; Carbonic anhydrase 3; Carbonic anhydrase 14; Carbonic anhydrase 15; Carbonic anhydrase 1; Carbonic anhydrase 4; Carbonic anhydrase 13; Carbonic anhydrase 5B, mitochondrial; ...(+2 more)",Homo sapiens; Mus musculus,O=C(O)c1cc2ccccc2oc1=O,No PAINS alert,,,,,
C_high_degree_coumarins,,13.0,,,,,Ki; IC50,Ki,,2.0,1986.0,2010.0,4.3,7.35,3.05,,,,,CHEMBL12567,13.0,none,CHEMBL2186; CHEMBL4789; CHEMBL261; CHEMBL3594; CHEMBL3242; CHEMBL2885; CHEMBL3510; CHEMBL5973; CHEMBL2622; CHEMBL3729; CHEMBL3969; CHEMBL2326; ...(+1 more),"Carbonic anhydrase 13; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 1; Carbonic anhydrase 9; Carbonic anhydrase 12; Carbonic anhydrase 3; Carbonic anhydrase 14; Carbonic anhydrase 15; Aldo-keto reductase family 1 member B1; Carbonic anhydrase 4; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 7; ...(+1 more)",Mus musculus; Homo sapiens; Rattus norvegicus,COc1ccc2c(C(=O)O)cc(=O)oc2c1,No PAINS alert,,,,,
C_high_degree_coumarins,,13.0,,,,,Ki,Ki,,1.0,2010.0,2010.0,4.19,7.34,3.15,,,,,CHEMBL567139,13.0,none,CHEMBL3510; CHEMBL261; CHEMBL3025; CHEMBL3242; CHEMBL3969; CHEMBL2186; CHEMBL5973; CHEMBL3594; CHEMBL4789; CHEMBL2326; CHEMBL3729; CHEMBL205; ...(+1 more),"Carbonic anhydrase 14; Carbonic anhydrase 1; Carbonic anhydrase 6; Carbonic anhydrase 12; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 13; Carbonic anhydrase 15; Carbonic anhydrase 9; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 7; Carbonic anhydrase 4; Carbonic anhydrase 2; ...(+1 more)",Homo sapiens; Mus musculus,NCc1ccc2oc(=O)ccc2c1,No PAINS alert,,,,,
C_high_degree_coumarins,,13.0,,,,,Ki,Ki,,1.0,2010.0,2010.0,4.21,7.32,3.11,,,,,CHEMBL568348,13.0,none,CHEMBL3510; CHEMBL261; CHEMBL4789; CHEMBL3594; CHEMBL3242; CHEMBL5973; CHEMBL2186; CHEMBL2885; CHEMBL3969; CHEMBL3729; CHEMBL2326; CHEMBL3025; ...(+1 more),"Carbonic anhydrase 14; Carbonic anhydrase 1; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 9; Carbonic anhydrase 12; Carbonic anhydrase 15; Carbonic anhydrase 13; Carbonic anhydrase 3; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 4; Carbonic anhydrase 7; Carbonic anhydrase 6; ...(+1 more)",Homo sapiens; Mus musculus,COc1cccc2cc(C(=O)O)c(=O)oc12,No PAINS alert,,,,,
D_endpoint_composition,,7076.0,,,,,,,,,,,,,,,,,,,,,,,,,,IC50,61.1106,,,
D_endpoint_composition,,3192.0,,,,,,,,,,,,,,,,,,,,,,,,,,Ki,27.5671,,,
D_endpoint_composition,,679.0,,,,,,,,,,,,,,,,,,,,,,,,,,EC50,5.8641,,,
D_endpoint_composition,,477.0,,,,,,,,,,,,,,,,,,,,,,,,,,AC50,4.1195,,,
D_endpoint_composition,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,Kd,1.3386,,,
network_overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,core_records,11579,Tier-A Core bioactivity records.
network_overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unique_compounds,5390,Unique molecule ChEMBL IDs in Tier-A Core.
network_overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unique_targets,632,Unique ChEMBL protein targets.
network_overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unique_compound_target_edges,9926,Unique molecule-target pairs.
network_overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single_target_compounds,3021,Compounds annotated to one ChEMBL target.
network_overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single_target_percent,56.0482,Percentage of compounds annotated to one ChEMBL target.
network_overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multi_target_compounds,2369,Compounds annotated to at least two ChEMBL targets.
network_overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multi_target_percent,43.9518,Percentage of compounds annotated to at least two targets.
network_overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compounds_with_degree_ge_5,221,Compounds annotated to five or more targets.
network_overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compounds_with_degree_ge_10,30,Compounds annotated to ten or more targets.
network_overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,max_chembl_target_degree,71,Highest degree molecule: CHEMBL6246.
network_overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,top_target_by_unique_compounds,CHEMBL2039,Amine oxidase [flavin-containing] B | 661 compounds | 714 records.
