molecule_chembl_id,record_count,chembl_target_degree,canonical_smiles,endpoint_types,dominant_endpoint,doi_count,year_min,year_max,pchembl_min,pchembl_max,pchembl_range,target_ids,target_names,target_organisms
CHEMBL577123,13,13,Cc1ccc2oc(=O)c(C(=O)O)cc2c1,IC50; Ki,Ki,2,2010,2013,4.26,7.72,3.46,CHEMBL2039; CHEMBL2326; CHEMBL3594; CHEMBL4789; CHEMBL261; CHEMBL2186; CHEMBL5973; CHEMBL3242; CHEMBL3969; CHEMBL3729; CHEMBL3510; CHEMBL205; ...(+1 more),"Amine oxidase [flavin-containing] B; Carbonic anhydrase 7; Carbonic anhydrase 9; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 1; Carbonic anhydrase 13; Carbonic anhydrase 15; Carbonic anhydrase 12; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 4; Carbonic anhydrase 14; Carbonic anhydrase 2; ...(+1 more)",Homo sapiens; Mus musculus
CHEMBL578167,13,13,O=c1ccc2cc(C[N+]34CN5CN(CN(C5)C3)C4)ccc2o1.[Cl-],Ki,Ki,1,2010,2010,4.14,7.4,3.26,CHEMBL3510; CHEMBL2186; CHEMBL3025; CHEMBL3594; CHEMBL3969; CHEMBL5973; CHEMBL4789; CHEMBL2326; CHEMBL3729; CHEMBL3242; CHEMBL261; CHEMBL2885; ...(+1 more),"Carbonic anhydrase 14; Carbonic anhydrase 13; Carbonic anhydrase 6; Carbonic anhydrase 9; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 15; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 7; Carbonic anhydrase 4; Carbonic anhydrase 12; Carbonic anhydrase 1; Carbonic anhydrase 3; ...(+1 more)",Homo sapiens; Mus musculus
CHEMBL444449,25,12,O=c1ccc2c(OCCCCOc3ccccc3)c3ccoc3cc2o1,EC50; IC50,IC50,6,2006,2023,5.0,8.7,3.7,CHEMBL4633; CHEMBL4306; CHEMBL2309; CHEMBL4205; CHEMBL2773; CHEMBL5279; CHEMBL2086; CHEMBL4304; CHEMBL240; CHEMBL4469; CHEMBL2369; CHEMBL4305,Potassium voltage-gated channel subfamily A member 3; Potassium voltage-gated channel subfamily A member 5; Potassium voltage-gated channel subfamily A member 1; Potassium voltage-gated channel subfamily A member 4; Potassium voltage-gated channel subfamily A member 7; Potassium voltage-gated channel subfamily A member 6; Potassium voltage-gated channel subfamily A member 2; Calcium-activated potassium channel subunit alpha-1; Voltage-gated inwardly rectifying potassium channel KCNH2; Small conductance calcium-activated potassium channel protein 2; Small conductance calcium-activated potassium channel protein 1; Intermediate conductance calcium-activated potassium channel protein 4,Homo sapiens
CHEMBL244743,13,12,O=c1ccc2cc(O)c(O)cc2o1,Ki; IC50; AC50,IC50,7,2005,2021,4.08,8.03,3.95,CHEMBL3242; CHEMBL3594; CHEMBL4361; CHEMBL3774295; CHEMBL1929; CHEMBL5939; CHEMBL340; CHEMBL3356; CHEMBL5362; CHEMBL221; CHEMBL1900; CHEMBL2275,Carbonic anhydrase 12; Carbonic anhydrase 9; Induced myeloid leukemia cell differentiation protein Mcl-1; Lysine-specific demethylase 5B; Xanthine dehydrogenase/oxidase; Endoplasmic reticulum aminopeptidase 1; Cytochrome P450 3A4; Cytochrome P450 1A2; Sortase A; Prostaglandin G/H synthase 1; Aldo-keto reductase family 1 member B1; Sorbitol dehydrogenase,Homo sapiens; Staphylococcus aureus
CHEMBL71851,13,12,COc1cc2ccc(=O)oc2cc1O,Ki; AC50; IC50,Ki,5,2007,2021,4.13,6.02,1.89,CHEMBL3594; CHEMBL3242; CHEMBL1741189; CHEMBL3356; CHEMBL5939; CHEMBL2326; CHEMBL261; CHEMBL4361; CHEMBL4358; CHEMBL3912; CHEMBL4078; CHEMBL1900,Carbonic anhydrase 9; Carbonic anhydrase 12; FAD-linked sulfhydryl oxidase ALR; Cytochrome P450 1A2; Endoplasmic reticulum aminopeptidase 1; Carbonic anhydrase 7; Carbonic anhydrase 1; Induced myeloid leukemia cell differentiation protein Mcl-1; Polyunsaturated fatty acid lipoxygenase ALOX15; Carbonic anhydrase 13; Acetylcholinesterase; Aldo-keto reductase family 1 member B1,Homo sapiens; Oryctolagus cuniculus; Electrophorus electricus
CHEMBL191528,12,12,CCOc1ccc2ccc(=O)oc2c1,Ki; IC50,Ki,2,2010,2023,4.08,6.0,1.92,CHEMBL5973; CHEMBL2186; CHEMBL2326; CHEMBL3356; CHEMBL3242; CHEMBL3510; CHEMBL3969; CHEMBL3594; CHEMBL4789; CHEMBL261; CHEMBL3729; CHEMBL3025,"Carbonic anhydrase 15; Carbonic anhydrase 13; Carbonic anhydrase 7; Cytochrome P450 1A2; Carbonic anhydrase 12; Carbonic anhydrase 14; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 9; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 1; Carbonic anhydrase 4; Carbonic anhydrase 6",Mus musculus; Homo sapiens
CHEMBL49732,12,12,COc1ccc2ccc(=O)oc2c1,Ki; IC50,Ki,2,2010,2010,4.02,5.62,1.6,CHEMBL2326; CHEMBL4789; CHEMBL3025; CHEMBL261; CHEMBL5973; CHEMBL3729; CHEMBL3510; CHEMBL2186; CHEMBL3242; CHEMBL3594; CHEMBL1900; CHEMBL2885,"Carbonic anhydrase 7; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 6; Carbonic anhydrase 1; Carbonic anhydrase 15; Carbonic anhydrase 4; Carbonic anhydrase 14; Carbonic anhydrase 13; Carbonic anhydrase 12; Carbonic anhydrase 9; Aldo-keto reductase family 1 member B1; Carbonic anhydrase 3",Homo sapiens; Mus musculus
CHEMBL567544,12,12,O=c1ccc2ccc(CCc3ccccc3)cc2o1,Ki,Ki,1,2010,2010,4.35,5.8,1.45,CHEMBL4789; CHEMBL3594; CHEMBL3969; CHEMBL2186; CHEMBL3242; CHEMBL3510; CHEMBL2885; CHEMBL5973; CHEMBL261; CHEMBL3729; CHEMBL205; CHEMBL2326,"Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 9; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 13; Carbonic anhydrase 12; Carbonic anhydrase 14; Carbonic anhydrase 3; Carbonic anhydrase 15; Carbonic anhydrase 1; Carbonic anhydrase 4; Carbonic anhydrase 2; Carbonic anhydrase 7",Homo sapiens; Mus musculus
CHEMBL568416,12,12,COc1ccc2oc(=O)c(C(=O)O)cc2c1,Ki,Ki,1,2010,2010,4.19,7.23,3.04,CHEMBL261; CHEMBL3510; CHEMBL4789; CHEMBL3594; CHEMBL3242; CHEMBL5973; CHEMBL2186; CHEMBL2885; CHEMBL3969; CHEMBL205; CHEMBL2326; CHEMBL3025,"Carbonic anhydrase 1; Carbonic anhydrase 14; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 9; Carbonic anhydrase 12; Carbonic anhydrase 15; Carbonic anhydrase 13; Carbonic anhydrase 3; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 2; Carbonic anhydrase 7; Carbonic anhydrase 6",Homo sapiens; Mus musculus
CHEMBL568417,12,12,O=C(O)c1cc2cc(CO)ccc2oc1=O,Ki,Ki,1,2010,2010,4.37,5.51,1.14,CHEMBL2186; CHEMBL205; CHEMBL3510; CHEMBL3594; CHEMBL3242; CHEMBL2885; CHEMBL5973; CHEMBL261; CHEMBL3969; CHEMBL3729; CHEMBL2326; CHEMBL3025,"Carbonic anhydrase 13; Carbonic anhydrase 2; Carbonic anhydrase 14; Carbonic anhydrase 9; Carbonic anhydrase 12; Carbonic anhydrase 3; Carbonic anhydrase 15; Carbonic anhydrase 1; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 4; Carbonic anhydrase 7; Carbonic anhydrase 6",Mus musculus; Homo sapiens
CHEMBL571514,12,12,CCCCOc1ccc2ccc(=O)oc2c1,Ki,Ki,1,2010,2010,4.21,5.39,1.18,CHEMBL2326; CHEMBL3594; CHEMBL2186; CHEMBL5973; CHEMBL2885; CHEMBL3969; CHEMBL3242; CHEMBL3510; CHEMBL3025; CHEMBL261; CHEMBL205; CHEMBL3729,"Carbonic anhydrase 7; Carbonic anhydrase 9; Carbonic anhydrase 13; Carbonic anhydrase 15; Carbonic anhydrase 3; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 12; Carbonic anhydrase 14; Carbonic anhydrase 6; Carbonic anhydrase 1; Carbonic anhydrase 2; Carbonic anhydrase 4",Homo sapiens; Mus musculus
CHEMBL571738,12,12,O=c1ccc2cc(CO)ccc2o1,Ki,Ki,1,2010,2010,4.12,7.33,3.21,CHEMBL2186; CHEMBL4789; CHEMBL3510; CHEMBL5973; CHEMBL3729; CHEMBL3594; CHEMBL3025; CHEMBL3242; CHEMBL3969; CHEMBL2326; CHEMBL205; CHEMBL2885,"Carbonic anhydrase 13; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 14; Carbonic anhydrase 15; Carbonic anhydrase 4; Carbonic anhydrase 9; Carbonic anhydrase 6; Carbonic anhydrase 12; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 7; Carbonic anhydrase 2; Carbonic anhydrase 3",Mus musculus; Homo sapiens
CHEMBL416,24,11,COc1c2occc2cc2ccc(=O)oc12,AC50; IC50; Ki; Kd; EC50,Ki,8,2001,2023,4.07,7.8,3.73,CHEMBL3356; CHEMBL3542436; CHEMBL5282; CHEMBL220; CHEMBL254; CHEMBL340; CHEMBL3622; CHEMBL289; CHEMBL3318; CHEMBL238; CHEMBL1951,"Cytochrome P450 1A2; Cytochrome P450 2A13; Cytochrome P450 2A6; Acetylcholinesterase; 3',5'-cyclic-AMP phosphodiesterase 4A; Cytochrome P450 3A4; Cytochrome P450 2C19; Cytochrome P450 2D6; Tyrosinase; Sodium-dependent dopamine transporter; Amine oxidase [flavin-containing] A",Homo sapiens; Agaricus bisporus
CHEMBL251680,11,11,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,Ki,Ki,1,2012,2012,4.21,5.65,1.44,CHEMBL3025; CHEMBL3969; CHEMBL3510; CHEMBL3912; CHEMBL2885; CHEMBL2326; CHEMBL4789; CHEMBL3729; CHEMBL3594; CHEMBL3242; CHEMBL261,"Carbonic anhydrase 6; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 14; Carbonic anhydrase 13; Carbonic anhydrase 3; Carbonic anhydrase 7; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 4; Carbonic anhydrase 9; Carbonic anhydrase 12; Carbonic anhydrase 1",Homo sapiens
CHEMBL567896,11,11,COC(=O)c1cc2cc(CO)ccc2oc1=O,Ki,Ki,1,2010,2010,4.31,7.38,3.07,CHEMBL3510; CHEMBL2326; CHEMBL3025; CHEMBL5973; CHEMBL3969; CHEMBL2186; CHEMBL3594; CHEMBL3242; CHEMBL205; CHEMBL2885; CHEMBL4789,"Carbonic anhydrase 14; Carbonic anhydrase 7; Carbonic anhydrase 6; Carbonic anhydrase 15; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 13; Carbonic anhydrase 9; Carbonic anhydrase 12; Carbonic anhydrase 2; Carbonic anhydrase 3; Carbonic anhydrase 5A, mitochondrial",Homo sapiens; Mus musculus
CHEMBL568173,11,11,CCOC(=O)c1cc2cc(CO)ccc2oc1=O,Ki,Ki,1,2010,2010,4.21,7.39,3.18,CHEMBL3510; CHEMBL5973; CHEMBL2186; CHEMBL3594; CHEMBL3025; CHEMBL3969; CHEMBL3729; CHEMBL2326; CHEMBL205; CHEMBL3242; CHEMBL2885,"Carbonic anhydrase 14; Carbonic anhydrase 15; Carbonic anhydrase 13; Carbonic anhydrase 9; Carbonic anhydrase 6; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 4; Carbonic anhydrase 7; Carbonic anhydrase 2; Carbonic anhydrase 12; Carbonic anhydrase 3",Homo sapiens; Mus musculus
CHEMBL568385,11,11,CCOC(=O)c1cc2ccc(OC)cc2oc1=O,Ki; IC50,Ki,2,2010,2011,4.14,7.35,3.21,CHEMBL2186; CHEMBL3510; CHEMBL5973; CHEMBL3025; CHEMBL3729; CHEMBL3242; CHEMBL3594; CHEMBL2326; CHEMBL2039; CHEMBL205; CHEMBL2885,Carbonic anhydrase 13; Carbonic anhydrase 14; Carbonic anhydrase 15; Carbonic anhydrase 6; Carbonic anhydrase 4; Carbonic anhydrase 12; Carbonic anhydrase 9; Carbonic anhydrase 7; Amine oxidase [flavin-containing] B; Carbonic anhydrase 2; Carbonic anhydrase 3,Mus musculus; Homo sapiens
CHEMBL568516,11,11,CCCOc1ccc2ccc(=O)oc2c1,Ki,Ki,1,2010,2010,4.26,5.18,0.92,CHEMBL2186; CHEMBL2326; CHEMBL3025; CHEMBL5973; CHEMBL3242; CHEMBL3594; CHEMBL3510; CHEMBL3969; CHEMBL261; CHEMBL205; CHEMBL4789,"Carbonic anhydrase 13; Carbonic anhydrase 7; Carbonic anhydrase 6; Carbonic anhydrase 15; Carbonic anhydrase 12; Carbonic anhydrase 9; Carbonic anhydrase 14; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 1; Carbonic anhydrase 2; Carbonic anhydrase 5A, mitochondrial",Mus musculus; Homo sapiens
CHEMBL108660,14,10,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12,IC50,IC50,5,2000,2017,4.62,8.8,4.18,CHEMBL2039; CHEMBL2993; CHEMBL3358; CHEMBL1951; CHEMBL1075138; CHEMBL1741213; CHEMBL5763; CHEMBL2334; CHEMBL1741207; CHEMBL1741215,Amine oxidase [flavin-containing] B; Amine oxidase [flavin-containing] A; Tyrosyl-DNA phosphodiesterase 1; Sentrin-specific protease 7; Cholinesterase; Caspase-3; Sentrin-specific protease 8; Sentrin-specific protease 6,Homo sapiens; Rattus norvegicus; Equus caballus
CHEMBL12208,11,10,Cc1cc(=O)oc2cc(O)ccc12,Ki; IC50; AC50,IC50,8,1986,2023,4.0,6.25,2.25,CHEMBL3594; CHEMBL4234; CHEMBL3356; CHEMBL3242; CHEMBL4361; CHEMBL1900; CHEMBL279; CHEMBL2622; CHEMBL2039; CHEMBL1287617,Carbonic anhydrase 9; 17-beta-hydroxysteroid dehydrogenase type 3; Cytochrome P450 1A2; Carbonic anhydrase 12; Induced myeloid leukemia cell differentiation protein Mcl-1; Aldo-keto reductase family 1 member B1; Vascular endothelial growth factor receptor 2; Amine oxidase [flavin-containing] B; UDP-glucuronosyltransferase 1A1,Homo sapiens; Rattus norvegicus
CHEMBL24171,11,9,COc1c2ccoc2cc2oc(=O)ccc12,Ki; IC50; AC50; Kd,IC50,5,1998,2023,4.39,7.22,2.83,CHEMBL2231; CHEMBL3356; CHEMBL5508; CHEMBL5282; CHEMBL208; CHEMBL1951; CHEMBL4878; CHEMBL256; CHEMBL2086,Cytochrome P450 1A1; Cytochrome P450 1A2; Dual specificity tyrosine-phosphorylation-regulated kinase 1A; Cytochrome P450 2A6; Progesterone receptor; Amine oxidase [flavin-containing] A; Cytochrome P450 1B1; Adenosine receptor A3; Potassium voltage-gated channel subfamily A member 2,Homo sapiens; Rattus norvegicus
CHEMBL4750435,10,9,COc1ccc(-n2cc(-c3ccc4ccc(=O)oc4c3)c3cc(-c4ccc(C(=O)O)cc4)cnc32)cc1,IC50,IC50,1,2020,2020,5.6,7.51,1.91,CHEMBL3864; CHEMBL2219; CHEMBL3236; CHEMBL3166; CHEMBL4703; CHEMBL335; CHEMBL3243; CHEMBL3807; CHEMBL3924,Tyrosine-protein phosphatase non-receptor type 11; Tyrosine-protein phosphatase non-receptor type 7; Tyrosine-protein phosphatase non-receptor type 12; Tyrosine-protein phosphatase non-receptor type 6; Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform; Tyrosine-protein phosphatase non-receptor type 1; Receptor-type tyrosine-protein phosphatase C; Tyrosine-protein phosphatase non-receptor type 2; Dual specificity protein phosphatase 22,Homo sapiens
CHEMBL5563085,9,9,N#Cc1cc2ccc(OCc3ccc(S(N)(=O)=O)cc3)cc2oc1=O,Ki; IC50,Ki,1,2024,2024,5.05,10.0,4.95,CHEMBL205; CHEMBL4789; CHEMBL3969; CHEMBL2039; CHEMBL3242; CHEMBL3729; CHEMBL2326; CHEMBL261; CHEMBL1951,"Carbonic anhydrase 2; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 5B, mitochondrial; Amine oxidase [flavin-containing] B; Carbonic anhydrase 12; Carbonic anhydrase 4; Carbonic anhydrase 7; Carbonic anhydrase 1; Amine oxidase [flavin-containing] A",Homo sapiens
CHEMBL5568690,9,9,Cc1cc(=O)oc2cc(OCc3ccc(S(N)(=O)=O)cc3)ccc12,IC50; Ki,Ki,1,2024,2024,5.24,7.95,2.71,CHEMBL2039; CHEMBL4789; CHEMBL3969; CHEMBL2326; CHEMBL205; CHEMBL3242; CHEMBL3729; CHEMBL1951; CHEMBL261,"Amine oxidase [flavin-containing] B; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 7; Carbonic anhydrase 2; Carbonic anhydrase 12; Carbonic anhydrase 4; Amine oxidase [flavin-containing] A; Carbonic anhydrase 1",Homo sapiens
CHEMBL5575945,9,9,NS(=O)(=O)c1ccc(COc2ccc3c(c2)oc(=O)c2ccccc23)cc1,IC50; Ki,Ki,1,2024,2024,4.05,7.13,3.08,CHEMBL2039; CHEMBL205; CHEMBL4789; CHEMBL2326; CHEMBL3969; CHEMBL3242; CHEMBL3729; CHEMBL1951; CHEMBL261,"Amine oxidase [flavin-containing] B; Carbonic anhydrase 2; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 7; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 12; Carbonic anhydrase 4; Amine oxidase [flavin-containing] A; Carbonic anhydrase 1",Homo sapiens
CHEMBL5583624,9,9,CN(C)c1cc(=O)oc2cc(OCc3ccc(S(N)(=O)=O)cc3)ccc12,Ki; IC50,Ki,1,2024,2024,5.18,7.59,2.41,CHEMBL205; CHEMBL2326; CHEMBL3242; CHEMBL3969; CHEMBL4789; CHEMBL3729; CHEMBL2039; CHEMBL1951; CHEMBL261,"Carbonic anhydrase 2; Carbonic anhydrase 7; Carbonic anhydrase 12; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 4; Amine oxidase [flavin-containing] B; Amine oxidase [flavin-containing] A; Carbonic anhydrase 1",Homo sapiens
CHEMBL51628,16,8,O=c1ccc2ccc(O)cc2o1,Ki; AC50; IC50,Ki,7,2005,2021,4.23,7.6,3.37,CHEMBL3594; CHEMBL3242; CHEMBL1293200; CHEMBL4361; CHEMBL5939; CHEMBL1900; CHEMBL4586; CHEMBL261,Carbonic anhydrase 9; Carbonic anhydrase 12; Zn finger protein; Induced myeloid leukemia cell differentiation protein Mcl-1; Endoplasmic reticulum aminopeptidase 1; Aldo-keto reductase family 1 member B1; Seed linoleate 13S-lipoxygenase-1; Carbonic anhydrase 1,Homo sapiens; Nicotiana tabacum; Glycine max
