compound_id,chembl_target_degree,family_aware_degree,target_family_list,target_chembl_id_list,high_family_degree_flag
CHEMBL30707,6,4,Kinases; Nuclear receptors; Other enzymes; Other/unclassified,CHEMBL206; CHEMBL2074; CHEMBL242; CHEMBL3401; CHEMBL3629; CHEMBL6135,1
CHEMBL149463,5,4,Carbonic anhydrases; Cytochrome P450s; Monoamine oxidases; Other/unclassified,CHEMBL2039; CHEMBL3242; CHEMBL3356; CHEMBL3594; CHEMBL5957,1
CHEMBL164660,5,4,Cholinesterases; Cytochrome P450s; Monoamine oxidases; Other/unclassified,CHEMBL1951; CHEMBL220; CHEMBL3251; CHEMBL4078; CHEMBL5282,1
CHEMBL397420,5,4,G protein-coupled receptors; Ion channels and transporters; Nuclear receptors; Other enzymes,CHEMBL2034; CHEMBL229; CHEMBL240; CHEMBL3401; CHEMBL4042,1
CHEMBL1531512,4,4,Kinases; Nuclear receptors; Other/unclassified; Proteases,CHEMBL1293228; CHEMBL1795089; CHEMBL1795093; CHEMBL206,1
CHEMBL5082824,4,4,Cholinesterases; Cytochrome P450s; Monoamine oxidases; Other/unclassified,CHEMBL2039; CHEMBL220; CHEMBL3253; CHEMBL340,1
CHEMBL145781,16,3,Carbonic anhydrases; G protein-coupled receptors; Monoamine oxidases,CHEMBL1945; CHEMBL1951; CHEMBL2039; CHEMBL205; CHEMBL2186; CHEMBL2326; CHEMBL261; CHEMBL2885; CHEMBL2993; CHEMBL3025; CHEMBL3242; CHEMBL3358; CHEMBL3510; CHEMBL3594; CHEMBL3729; CHEMBL5973,1
CHEMBL83294,14,3,Carbonic anhydrases; G protein-coupled receptors; Monoamine oxidases,CHEMBL1293267; CHEMBL2039; CHEMBL2186; CHEMBL2326; CHEMBL261; CHEMBL2885; CHEMBL3025; CHEMBL3242; CHEMBL3510; CHEMBL3594; CHEMBL3729; CHEMBL3969; CHEMBL4789; CHEMBL5973,1
CHEMBL1078442,8,3,Cytochrome P450s; Other/unclassified; Proteases,CHEMBL1743542; CHEMBL3019; CHEMBL3335; CHEMBL340; CHEMBL4523582; CHEMBL4729; CHEMBL4822; CHEMBL5281,1
CHEMBL1578982,8,3,Cytochrome P450s; Other enzymes; Other/unclassified,CHEMBL1293246; CHEMBL1293282; CHEMBL1293302; CHEMBL3356; CHEMBL3397; CHEMBL340; CHEMBL3622; CHEMBL5804,1
CHEMBL390320,8,3,Carbonic anhydrases; Other enzymes; Other/unclassified,CHEMBL1900; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3594; CHEMBL3912; CHEMBL4358; CHEMBL4361,1
CHEMBL325841,7,3,Carbonic anhydrases; Other enzymes; Other/unclassified,CHEMBL1293251; CHEMBL1900; CHEMBL1935; CHEMBL2275; CHEMBL3242; CHEMBL3594; CHEMBL4234,1
CHEMBL97453,7,3,Ion channels and transporters; Other enzymes; Other/unclassified,CHEMBL1667698; CHEMBL1743122; CHEMBL215; CHEMBL2189117; CHEMBL5347; CHEMBL5586; CHEMBL5685,1
CHEMBL1333737,6,3,G protein-coupled receptors; Other enzymes; Other/unclassified,CHEMBL1741180; CHEMBL1741194; CHEMBL1795086; CHEMBL227; CHEMBL3151; CHEMBL3880,1
CHEMBL1347829,6,3,Cytochrome P450s; Kinases; Nuclear receptors,CHEMBL206; CHEMBL289; CHEMBL3397; CHEMBL340; CHEMBL3622; CHEMBL5469,1
CHEMBL1494802,6,3,Cytochrome P450s; Other/unclassified; Proteases,CHEMBL1741221; CHEMBL3356; CHEMBL3397; CHEMBL340; CHEMBL3622; CHEMBL4426,1
CHEMBL1550032,6,3,Other enzymes; Other/unclassified; Proteases,CHEMBL1293266; CHEMBL1795098; CHEMBL2007628; CHEMBL2635; CHEMBL3308; CHEMBL3864,1
CHEMBL1566928,6,3,Cytochrome P450s; G protein-coupled receptors; Other/unclassified,CHEMBL2955; CHEMBL3356; CHEMBL3397; CHEMBL340; CHEMBL3622; CHEMBL5313,1
CHEMBL3586771,6,3,Cholinesterases; Cytochrome P450s; Monoamine oxidases,CHEMBL1914; CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL340; CHEMBL5763,1
CHEMBL3939546,6,3,Cholinesterases; G protein-coupled receptors; Monoamine oxidases,CHEMBL226; CHEMBL251; CHEMBL256; CHEMBL2993; CHEMBL4078; CHEMBL5763,1
CHEMBL12253,5,3,Kinases; Other enzymes; Other/unclassified,CHEMBL1841; CHEMBL1900; CHEMBL258; CHEMBL2622; CHEMBL3663,1
CHEMBL1376200,5,3,Other enzymes; Other/unclassified; Proteases,CHEMBL2334; CHEMBL3308; CHEMBL3468; CHEMBL4361; CHEMBL5573,1
CHEMBL1475,5,3,Cytochrome P450s; G protein-coupled receptors; Monoamine oxidases,CHEMBL1951; CHEMBL225; CHEMBL251; CHEMBL3356; CHEMBL340,1
CHEMBL1501269,5,3,Nuclear receptors; Other/unclassified; Proteases,CHEMBL1293286; CHEMBL1293296; CHEMBL206; CHEMBL242; CHEMBL4117,1
CHEMBL244948,5,3,Cytochrome P450s; Kinases; Other/unclassified,CHEMBL203; CHEMBL3356; CHEMBL340; CHEMBL4361; CHEMBL6100,1
CHEMBL452751,5,3,Cytochrome P450s; Ion channels and transporters; Other enzymes,CHEMBL1741212; CHEMBL2231; CHEMBL3356; CHEMBL4302; CHEMBL4878,1
CHEMBL5083737,5,3,Cholinesterases; Cytochrome P450s; Monoamine oxidases,CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL340; CHEMBL5763,1
CHEMBL5182136,5,3,Cholinesterases; Other enzymes; Proteases,CHEMBL1914; CHEMBL215; CHEMBL220; CHEMBL4822; CHEMBL6174,1
CHEMBL52229,5,3,Ion channels and transporters; Other enzymes; Other/unclassified,CHEMBL215; CHEMBL230; CHEMBL2949; CHEMBL4302; CHEMBL5661,1
CHEMBL53569,5,3,Cholinesterases; Monoamine oxidases; Other/unclassified,CHEMBL1951; CHEMBL2039; CHEMBL3251; CHEMBL3358; CHEMBL4078,1
CHEMBL560919,5,3,Kinases; Other enzymes; Other/unclassified,CHEMBL1293251; CHEMBL2758; CHEMBL2971; CHEMBL4361; CHEMBL5643,1
CHEMBL1381627,4,3,Nuclear receptors; Other enzymes; Other/unclassified,CHEMBL1293229; CHEMBL1293251; CHEMBL3108645; CHEMBL4361,1
CHEMBL1425421,4,3,Other enzymes; Other/unclassified; Proteases,CHEMBL1293246; CHEMBL1741221; CHEMBL4117; CHEMBL4426,1
CHEMBL1484327,4,3,Other enzymes; Other/unclassified; Proteases,CHEMBL1293246; CHEMBL5567; CHEMBL5804; CHEMBL5939,1
CHEMBL1603147,4,3,Kinases; Other enzymes; Other/unclassified,CHEMBL1293228; CHEMBL1293274; CHEMBL1293286; CHEMBL1795098,1
CHEMBL3326709,4,3,Cholinesterases; Other/unclassified; Proteases,CHEMBL1914; CHEMBL220; CHEMBL2487; CHEMBL4822,1
CHEMBL3327246,4,3,Cholinesterases; Other/unclassified; Proteases,CHEMBL1914; CHEMBL220; CHEMBL2487; CHEMBL4822,1
CHEMBL3327247,4,3,Cholinesterases; Other/unclassified; Proteases,CHEMBL1914; CHEMBL220; CHEMBL2487; CHEMBL4822,1
CHEMBL4464759,4,3,Cholinesterases; Monoamine oxidases; Other/unclassified,CHEMBL2039; CHEMBL220; CHEMBL3253; CHEMBL4078,1
CHEMBL5090153,4,3,Cholinesterases; Cytochrome P450s; Monoamine oxidases,CHEMBL2039; CHEMBL220; CHEMBL340; CHEMBL5763,1
CHEMBL1301731,3,3,Kinases; Other enzymes; Other/unclassified,CHEMBL1293246; CHEMBL267; CHEMBL5804,1
CHEMBL1325943,3,3,Cholinesterases; Monoamine oxidases; Other/unclassified,CHEMBL2039; CHEMBL220; CHEMBL5313,1
CHEMBL1392132,3,3,Other enzymes; Other/unclassified; Proteases,CHEMBL2085; CHEMBL4461; CHEMBL5939,1
CHEMBL1452114,3,3,G protein-coupled receptors; Other enzymes; Other/unclassified,CHEMBL1741171; CHEMBL1741192; CHEMBL4123,1
CHEMBL258939,3,3,G protein-coupled receptors; Kinases; Proteases,CHEMBL262; CHEMBL265; CHEMBL4822,1
CHEMBL272465,3,3,Other enzymes; Other/unclassified; Proteases,CHEMBL1293297; CHEMBL3108645; CHEMBL3308,1
CHEMBL307341,3,3,G protein-coupled receptors; Monoamine oxidases; Other enzymes,CHEMBL1945; CHEMBL2903; CHEMBL3681,1
CHEMBL350475,3,3,Cholinesterases; Monoamine oxidases; Other enzymes,CHEMBL1951; CHEMBL221; CHEMBL4078,1
CHEMBL453805,3,3,Cytochrome P450s; Ion channels and transporters; Proteases,CHEMBL4302; CHEMBL4822; CHEMBL4878,1
CHEMBL5081574,3,3,Cholinesterases; Cytochrome P450s; Monoamine oxidases,CHEMBL2039; CHEMBL220; CHEMBL340,1
CHEMBL589351,3,3,Kinases; Other enzymes; Other/unclassified,CHEMBL1293228; CHEMBL2085; CHEMBL5567,1
CHEMBL2387229,15,2,G protein-coupled receptors; Ion channels and transporters,CHEMBL214; CHEMBL217; CHEMBL224; CHEMBL225; CHEMBL229; CHEMBL231; CHEMBL234; CHEMBL240; CHEMBL273; CHEMBL3138; CHEMBL322; CHEMBL324; CHEMBL3371; CHEMBL339; CHEMBL3943,0
CHEMBL572366,15,2,Carbonic anhydrases; Other/unclassified,CHEMBL1293200; CHEMBL205; CHEMBL2186; CHEMBL2326; CHEMBL261; CHEMBL2885; CHEMBL3025; CHEMBL3242; CHEMBL3510; CHEMBL3594; CHEMBL3729; CHEMBL3912; CHEMBL3969; CHEMBL4789; CHEMBL5973,0
CHEMBL286738,14,2,Carbonic anhydrases; Other enzymes,CHEMBL1865; CHEMBL1978; CHEMBL205; CHEMBL2186; CHEMBL2326; CHEMBL261; CHEMBL3025; CHEMBL3242; CHEMBL3510; CHEMBL3559; CHEMBL3594; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL12567,13,2,Carbonic anhydrases; Other enzymes,CHEMBL205; CHEMBL2186; CHEMBL2326; CHEMBL261; CHEMBL2622; CHEMBL2885; CHEMBL3242; CHEMBL3510; CHEMBL3594; CHEMBL3729; CHEMBL3969; CHEMBL4789; CHEMBL5973,0
CHEMBL577123,13,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2186; CHEMBL2326; CHEMBL261; CHEMBL3025; CHEMBL3242; CHEMBL3510; CHEMBL3594; CHEMBL3729; CHEMBL3969; CHEMBL4789; CHEMBL5973,0
CHEMBL191528,12,2,Carbonic anhydrases; Cytochrome P450s,CHEMBL2186; CHEMBL2326; CHEMBL261; CHEMBL3025; CHEMBL3242; CHEMBL3356; CHEMBL3510; CHEMBL3594; CHEMBL3729; CHEMBL3969; CHEMBL4789; CHEMBL5973,0
CHEMBL49732,12,2,Carbonic anhydrases; Other enzymes,CHEMBL1900; CHEMBL2186; CHEMBL2326; CHEMBL261; CHEMBL2885; CHEMBL3025; CHEMBL3242; CHEMBL3510; CHEMBL3594; CHEMBL3729; CHEMBL4789; CHEMBL5973,0
CHEMBL568385,11,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2186; CHEMBL2326; CHEMBL2885; CHEMBL3025; CHEMBL3242; CHEMBL3510; CHEMBL3594; CHEMBL3729; CHEMBL5973,0
CHEMBL5563085,9,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL1951; CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5568690,9,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL1951; CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5575945,9,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL1951; CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5583624,9,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL1951; CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL3586577,8,2,Cholinesterases; Monoamine oxidases,CHEMBL1914; CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL2993; CHEMBL3358; CHEMBL4078; CHEMBL5763,0
CHEMBL3586582,8,2,Cholinesterases; Monoamine oxidases,CHEMBL1914; CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL2993; CHEMBL3358; CHEMBL4078; CHEMBL5763,0
CHEMBL3586608,8,2,Cholinesterases; Monoamine oxidases,CHEMBL1914; CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL2993; CHEMBL3198; CHEMBL4078; CHEMBL5763,0
CHEMBL5556627,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5562537,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5563200,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5565316,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5565616,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5566534,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5567576,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5569915,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5570372,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5570880,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5570926,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5571128,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5571185,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5571218,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5571767,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5572092,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5572513,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5573918,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5574490,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5575065,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5575196,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5575430,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5575791,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5583585,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5589767,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL5593900,8,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL2039; CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3729; CHEMBL3969; CHEMBL4789,0
CHEMBL593763,8,2,Cytochrome P450s; Monoamine oxidases,CHEMBL289; CHEMBL2993; CHEMBL3356; CHEMBL3358; CHEMBL3397; CHEMBL340; CHEMBL3622; CHEMBL5281,0
CHEMBL6338,8,2,Kinases; Other enzymes,CHEMBL1075126; CHEMBL3713355; CHEMBL4523282; CHEMBL4523291; CHEMBL4523371; CHEMBL4523392; CHEMBL4523400; CHEMBL4523427,0
CHEMBL1256851,7,2,Cytochrome P450s; Ion channels and transporters,CHEMBL289; CHEMBL3356; CHEMBL3397; CHEMBL340; CHEMBL3622; CHEMBL4306; CHEMBL4633,0
CHEMBL2385102,7,2,G protein-coupled receptors; Ion channels and transporters,CHEMBL240; CHEMBL273; CHEMBL3138; CHEMBL322; CHEMBL324; CHEMBL339; CHEMBL3943,0
CHEMBL2387230,7,2,G protein-coupled receptors; Ion channels and transporters,CHEMBL240; CHEMBL273; CHEMBL3138; CHEMBL322; CHEMBL324; CHEMBL339; CHEMBL3943,0
CHEMBL2387260,7,2,G protein-coupled receptors; Ion channels and transporters,CHEMBL240; CHEMBL273; CHEMBL3138; CHEMBL322; CHEMBL324; CHEMBL339; CHEMBL3943,0
CHEMBL2387265,7,2,G protein-coupled receptors; Ion channels and transporters,CHEMBL240; CHEMBL273; CHEMBL3138; CHEMBL322; CHEMBL324; CHEMBL339; CHEMBL3943,0
CHEMBL3586576,7,2,Cholinesterases; Monoamine oxidases,CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL2993; CHEMBL3358; CHEMBL4078; CHEMBL5763,0
CHEMBL3586583,7,2,Cholinesterases; Monoamine oxidases,CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL2993; CHEMBL3358; CHEMBL4078; CHEMBL5763,0
CHEMBL54909,7,2,Carbonic anhydrases; Other/unclassified,CHEMBL205; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3594; CHEMBL3912; CHEMBL4361,0
CHEMBL56918,7,2,Carbonic anhydrases; Monoamine oxidases,CHEMBL1951; CHEMBL2039; CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3594; CHEMBL3912,0
CHEMBL7121,7,2,Carbonic anhydrases; Other enzymes,CHEMBL205; CHEMBL2326; CHEMBL247; CHEMBL261; CHEMBL3242; CHEMBL3594; CHEMBL3912,0
CHEMBL1467623,6,2,Other enzymes; Proteases,CHEMBL1795098; CHEMBL2007628; CHEMBL2635; CHEMBL3308; CHEMBL3864; CHEMBL5511,0
CHEMBL2387253,6,2,G protein-coupled receptors; Ion channels and transporters,CHEMBL240; CHEMBL273; CHEMBL3138; CHEMBL322; CHEMBL324; CHEMBL339,0
CHEMBL303846,6,2,Carbonic anhydrases; Kinases,CHEMBL2326; CHEMBL261; CHEMBL3242; CHEMBL3594; CHEMBL3912; CHEMBL5508,0
CHEMBL3086078,6,2,Cytochrome P450s; Kinases,CHEMBL1906; CHEMBL289; CHEMBL3397; CHEMBL340; CHEMBL3587; CHEMBL3622,0
CHEMBL3264002,6,2,Cytochrome P450s; Kinases,CHEMBL1906; CHEMBL2964; CHEMBL3397; CHEMBL3587; CHEMBL4948; CHEMBL5145,0
CHEMBL3417299,6,2,Cholinesterases; Monoamine oxidases,CHEMBL1914; CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL4078; CHEMBL5763,0
CHEMBL3417300,6,2,Cholinesterases; Monoamine oxidases,CHEMBL1914; CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL4078; CHEMBL5763,0
CHEMBL3586592,6,2,Cholinesterases; Monoamine oxidases,CHEMBL1914; CHEMBL2039; CHEMBL220; CHEMBL2993; CHEMBL4078; CHEMBL5763,0
CHEMBL3586595,6,2,Cholinesterases; Monoamine oxidases,CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL2993; CHEMBL4078; CHEMBL5763,0
CHEMBL3586610,6,2,Cholinesterases; Monoamine oxidases,CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL2993; CHEMBL4078; CHEMBL5763,0
CHEMBL4470448,6,2,Cholinesterases; Monoamine oxidases,CHEMBL1914; CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL4078; CHEMBL5763,0
CHEMBL4571763,6,2,Cholinesterases; Monoamine oxidases,CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL3198; CHEMBL4078; CHEMBL5763,0
CHEMBL5089227,6,2,Carbonic anhydrases; Other enzymes,CHEMBL2326; CHEMBL2916; CHEMBL3242; CHEMBL3594; CHEMBL3969; CHEMBL4789,0
CHEMBL109018,5,2,Cholinesterases; Monoamine oxidases,CHEMBL1951; CHEMBL2039; CHEMBL220; CHEMBL2993; CHEMBL3358,0
CHEMBL122485,5,2,G protein-coupled receptors; Ion channels and transporters,CHEMBL217; CHEMBL273; CHEMBL313; CHEMBL3223; CHEMBL339,0
CHEMBL124419,5,2,G protein-coupled receptors; Ion channels and transporters,CHEMBL217; CHEMBL273; CHEMBL313; CHEMBL3223; CHEMBL339,0
CHEMBL1324640,5,2,Cytochrome P450s; Other/unclassified,CHEMBL1741171; CHEMBL289; CHEMBL3356; CHEMBL340; CHEMBL3622,0
