molecule_chembl_id,target_chembl_id,record_count,canonical_smiles,target_name,target_organism,uniprot_accession,endpoint_types,dominant_endpoint,doi_count,year_min,year_max,pchembl_min,pchembl_max,pchembl_range
CHEMBL225472,CHEMBL1978,6,COc1ccc2c(Cn3ccnc3)cc(=O)oc2c1,Aromatase,Homo sapiens,Q8IYJ7,IC50,IC50,5,2004,2017,6.55,6.55,0.0
CHEMBL225499,CHEMBL1978,6,O=c1cc(Cn2ccnc2)c2ccc(OCc3ccccc3)cc2o1,Aromatase,Homo sapiens,Q8IYJ7,IC50,IC50,5,2004,2017,6.82,6.82,0.0
CHEMBL4100677,CHEMBL1293267,6,O=c1oc2c([N+](=O)[O-])c(O)c(Br)cc2cc1-c1nnn[nH]1,G-protein coupled receptor 35,Homo sapiens,Q9HC97,EC50; IC50; Ki,EC50,2,2017,2023,6.71,8.52,1.81
CHEMBL5393856,CHEMBL217,6,COc1cccc2c3c(oc12)CN(CCCCOc1ccc2ccc(=O)oc2c1)CC3,D(2) dopamine receptor,Homo sapiens,Q9UPA9,Ki; EC50,EC50,1,2023,2023,6.51,6.54,0.03
CHEMBL5418748,CHEMBL217,6,CCOc1cccc2cc(CNCCCCOc3ccc4ccc(=O)oc4c3)oc12,D(2) dopamine receptor,Homo sapiens,Q9UPA9,EC50; Ki,EC50,1,2023,2023,7.32,8.37,1.05
CHEMBL97453,CHEMBL5347,6,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,Glucose-6-phosphate 1-dehydrogenase,Homo sapiens,Q96PQ2,Ki; Kd; IC50,Ki,1,2021,2021,5.0,5.92,0.92
CHEMBL1465,CHEMBL243,5,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,Q72874,Ki; IC50,Ki,5,1994,2023,6.0,6.1,0.1
CHEMBL224228,CHEMBL1978,5,O=c1ccc2cc(Cn3ccnc3)ccc2o1,Aromatase,Homo sapiens,Q8IYJ7,IC50,IC50,3,2004,2017,5.95,6.84,0.89
CHEMBL2314726,CHEMBL220,5,COc1cc2cc(NC(=O)[C@H]3CCC[C@@H](NCc4ccccc4)C3)c(=O)oc2cc1OC,Acetylcholinesterase,Homo sapiens,Q9BXP7,IC50; Ki,IC50,2,2013,2020,6.42,7.44,1.02
CHEMBL267160,CHEMBL5567,5,COc1ccc(-c2cc3ccc(OCc4nn[nH]n4)cc3oc2=O)cc1,Luciferin 4-monooxygenase,Photinus pyralis,Q27755,IC50,IC50,1,2008,2008,4.88,5.96,1.08
CHEMBL267447,CHEMBL247,5,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@@H](C)[C@@H]3O,Human immunodeficiency virus type 1 reverse transcriptase,Human immunodeficiency virus 1,Q72547,EC50; IC50,IC50,4,1995,2016,4.7,6.5,1.8
CHEMBL274030,CHEMBL2993,5,Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O,Amine oxidase [flavin-containing] B,Rattus norvegicus,Q5EBB5,IC50,IC50,5,1994,2016,8.52,9.22,0.7
CHEMBL30707,CHEMBL206,5,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,Estrogen receptor,Homo sapiens,P03372,IC50,IC50,2,2004,2013,7.12,7.96,0.84
CHEMBL30707,CHEMBL242,5,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,Estrogen receptor beta,Homo sapiens,Q9UQK9,IC50,IC50,2,2004,2013,7.73,8.7,0.97
CHEMBL337029,CHEMBL247,5,C[C@H]1[C@H](O)c2c(c3c(c4c(-c5ccccc5)cc(=O)oc24)OC(C)(C)C=C3)O[C@@H]1C,Human immunodeficiency virus type 1 reverse transcriptase,Human immunodeficiency virus 1,Q72547,IC50; EC50,IC50,3,1993,2018,6.39,7.42,1.03
CHEMBL374632,CHEMBL5567,5,CCN(CC)c1ccc2cc(-c3nc4ccccc4[nH]3)c(=O)oc2c1,Luciferin 4-monooxygenase,Photinus pyralis,Q27755,IC50,IC50,1,2008,2008,4.85,6.92,2.07
CHEMBL4077503,CHEMBL1293267,5,O=C(O)c1cc2cc(Br)c(O)cc2oc1=O,G-protein coupled receptor 35,Homo sapiens,Q9HC97,IC50; EC50,IC50,2,2017,2021,5.36,6.89,1.53
CHEMBL4081238,CHEMBL1293267,5,O=C(O)c1cc2cc(Br)c(O)c(Br)c2oc1=O,G-protein coupled receptor 35,Homo sapiens,Q9HC97,IC50; EC50; Ki,EC50,2,2017,2023,5.44,7.25,1.81
CHEMBL430776,CHEMBL3471,5,COc1ccc(-c2c3c4cc(OC)c(OS(=O)(=O)[O-])cc4oc(=O)c3n3ccc4cc(OC)c(OC)cc4c23)cc1O.[Na+],Human immunodeficiency virus type 1 integrase,Human immunodeficiency virus 1,Q7ZJM1,IC50,IC50,2,1999,2011,4.66,5.1,0.44
CHEMBL4446622,CHEMBL4531,5,O=c1oc2ccccc2cc1CO[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](OCc3cc4ccccc4oc3=O)[C@H]2O)[C@@H]1O,Galectin-3,Homo sapiens,P17931,Kd,Kd,1,2016,2016,4.3,7.04,2.74
CHEMBL4449685,CHEMBL2061,5,Cc1cc2c(cc1-c1cc3cc(C(=O)O)c(=O)oc3cc1O)C(C)(C)CCC2(C)C,Retinoic acid receptor RXR-alpha,Homo sapiens,P19793,EC50; Ki; Kd,Kd,2,2019,2023,4.88,7.66,2.78
CHEMBL4459312,CHEMBL3559,5,Cc1c(Cc2ccccc2)c(=O)oc2cc(OS(N)(=O)=O)ccc12,Steryl-sulfatase,Homo sapiens,P08842,IC50,IC50,3,2019,2024,7.5,9.0,1.5
CHEMBL4520442,CHEMBL3559,5,CCCCCCc1c(C)c2ccc(OS(N)(=O)=O)cc2oc1=O,Steryl-sulfatase,Homo sapiens,P08842,IC50,IC50,3,2019,2024,7.5,9.17,1.67
CHEMBL4850743,CHEMBL1293267,5,O=C(O)c1cc2cc3cc(C(=O)O)c(=O)oc3c(Br)c2oc1=O,G-protein coupled receptor 35,Homo sapiens,Q9HC97,IC50; EC50,IC50,1,2021,2021,6.54,8.03,1.49
CHEMBL4856029,CHEMBL1293267,5,O=C(O)c1cc2c(oc1=O)c(Br)cc1cc(-c3nnn[nH]3)c(=O)oc12,G-protein coupled receptor 35,Homo sapiens,Q9HC97,IC50; EC50,IC50,1,2021,2021,6.08,7.8,1.72
CHEMBL4856506,CHEMBL1293267,5,COc1ccc(-c2cc3cc(C(=O)O)c(=O)oc3c3cc(C(=O)O)c(=O)oc23)cc1,G-protein coupled receptor 35,Homo sapiens,Q9HC97,IC50; EC50,IC50,1,2021,2021,6.33,8.61,2.28
CHEMBL4857772,CHEMBL1293267,5,O=C(O)c1cc2c3ccccc3c3cc(C(=O)O)c(=O)oc3c2oc1=O,G-protein coupled receptor 35,Homo sapiens,Q9HC97,EC50; IC50,IC50,1,2021,2021,6.34,9.51,3.17
CHEMBL4870213,CHEMBL1293267,5,COc1ccc(-c2c3oc(=O)c(C(=O)O)cc3cc3cc(C(=O)O)c(=O)oc23)cc1,G-protein coupled receptor 35,Homo sapiens,Q9HC97,IC50; EC50,IC50,1,2021,2021,6.75,8.7,1.95
CHEMBL97453,CHEMBL2189117,5,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,Polycomb protein EED,Homo sapiens,O75530,Kd,Kd,5,2020,2022,5.55,5.55,0.0
CHEMBL108697,CHEMBL2993,4,Cc1c(C)c2ccc(OCc3cccc(F)c3)cc2oc1=O,Amine oxidase [flavin-containing] B,Rattus norvegicus,Q5EBB5,IC50,IC50,4,2000,2016,8.52,8.55,0.03
CHEMBL111309,CHEMBL2993,4,Cc1c(C)c2ccc(OCc3ccccc3)cc2oc1=O,Amine oxidase [flavin-containing] B,Rattus norvegicus,Q5EBB5,IC50,IC50,3,2000,2006,5.48,8.36,2.88
CHEMBL113230,CHEMBL3571,4,CCCCCCC(C)(C)c1cc(O)c2c(c1)oc(=O)c1ccc(C)cc12,Cannabinoid receptor 1,Rattus norvegicus,P20272,EC50; Ki,Ki,2,1997,2007,7.14,8.02,0.88
CHEMBL1309685,CHEMBL1250379,4,COc1cc(OC)c2c(-c3ccccc3)cc(=O)oc2c1C(CC(=O)N1CCCC1)c1ccc2c(c1)OCO2,ELAV-like protein 1,Homo sapiens,Q9BTT1,Ki; IC50,Ki,1,2017,2017,4.78,5.98,1.2
CHEMBL1330249,CHEMBL1250379,4,CCN(CC)C(=O)CC(c1cc(OC)c(OC)c(OC)c1)c1c(OC)cc(OC)c2c(-c3ccccc3)cc(=O)oc12,ELAV-like protein 1,Homo sapiens,Q9BTT1,Ki; IC50,Ki,1,2017,2017,4.91,6.23,1.32
CHEMBL1390568,CHEMBL1250379,4,COc1ccc(C(CC(=O)N2CCOCC2)c2c(OC)cc(OC)c3c(-c4ccccc4)cc(=O)oc23)cc1,ELAV-like protein 1,Homo sapiens,Q9BTT1,Ki; IC50,Ki,1,2017,2017,4.8,6.1,1.3
CHEMBL1398194,CHEMBL1250379,4,COc1cc(C(CC(=O)N2CCCC2)c2c(OC)cc(OC)c3c(-c4ccccc4)cc(=O)oc23)cc(OC)c1OC,ELAV-like protein 1,Homo sapiens,Q9BTT1,Ki; IC50,Ki,1,2017,2017,4.75,5.96,1.21
CHEMBL1466,CHEMBL1293267,4,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,G-protein coupled receptor 35,Homo sapiens,Q9HC97,Ki; EC50,EC50,2,2013,2017,5.01,7.41,2.4
CHEMBL1466,CHEMBL3397,4,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,Cytochrome P450 2C9,Homo sapiens,Q8WW80,AC50; IC50; Ki,Ki,2,2000,2004,5.72,7.6,1.88
CHEMBL1499653,CHEMBL1250379,4,COc1ccc(C(CC(=O)N2CCCC2)c2c(OC)cc(OC)c3c(-c4ccccc4)cc(=O)oc23)cc1,ELAV-like protein 1,Homo sapiens,Q9BTT1,Ki; IC50,Ki,1,2017,2017,5.09,6.46,1.37
CHEMBL1522581,CHEMBL1250379,4,CCN(CC)C(=O)CC(c1ccc(OC)cc1)c1c(OC)cc(OC)c2c(-c3ccccc3)cc(=O)oc12,ELAV-like protein 1,Homo sapiens,Q9BTT1,Ki; IC50,Ki,1,2017,2017,4.96,6.24,1.28
CHEMBL153505,CHEMBL2085,4,O=c1oc2cc(O)ccc2cc1-c1ccccc1,Macrophage migration inhibitory factor,Homo sapiens,P14174,Ki; IC50,Ki,3,2001,2020,5.75,6.33,0.58
CHEMBL155103,CHEMBL2085,4,CCOC(=O)c1cc2ccc(O)cc2oc1=O,Macrophage migration inhibitory factor,Homo sapiens,P14174,Ki; IC50,Ki,3,2001,2020,4.73,5.13,0.4
CHEMBL1835807,CHEMBL208,4,CCN(CC)c1cc2oc(=O)ccc2cc1-c1ccccc1,Progesterone receptor,Homo sapiens,Q9UPF7,IC50,IC50,2,2011,2016,5.85,6.3,0.45
CHEMBL1835836,CHEMBL208,4,Cn1c(C#N)ccc1-c1ccc2oc(=O)ccc2c1,Progesterone receptor,Homo sapiens,Q9UPF7,IC50,IC50,3,2011,2018,4.82,7.19,2.37
CHEMBL18966,CHEMBL2993,4,Cc1ccc(COc2ccc3c(C)c(C)c(=O)oc3c2)cc1,Amine oxidase [flavin-containing] B,Rattus norvegicus,Q5EBB5,IC50,IC50,4,1994,2006,8.21,9.05,0.84
CHEMBL192548,CHEMBL206,4,O=C(Oc1ccc2c(-c3ccccc3)cc(=O)oc2c1)c1ccco1,Estrogen receptor,Homo sapiens,P03372,IC50,IC50,1,2005,2013,5.63,5.63,0.0
CHEMBL2047528,CHEMBL3229,4,CN(CCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(OC(=O)NCCCCCc2ccccc2)c1,Fatty-acid amide hydrolase 1,Rattus norvegicus,Q5BKA3,IC50,IC50,2,2012,2016,5.39,7.3,1.91
CHEMBL224649,CHEMBL1978,4,O=c1ccc2ccc(Cn3ccnc3)cc2o1,Aromatase,Homo sapiens,Q8IYJ7,IC50,IC50,3,2004,2017,6.17,6.17,0.0
CHEMBL224786,CHEMBL1978,4,O=c1oc2ccccc2c(Cn2ccnc2)c1-c1ccccc1,Aromatase,Homo sapiens,Q8IYJ7,IC50,IC50,3,2004,2017,5.29,5.29,0.0
CHEMBL224787,CHEMBL1978,4,COc1ccc2c(-c3ccccc3)c(Cn3ccnc3)c(=O)oc2c1,Aromatase,Homo sapiens,Q8IYJ7,IC50,IC50,3,2004,2017,6.97,6.97,0.0
CHEMBL225178,CHEMBL1978,4,O=c1cc(OCCn2ccnc2)c2ccccc2o1,Aromatase,Homo sapiens,Q8IYJ7,IC50,IC50,3,2004,2017,6.12,6.12,0.0
CHEMBL239057,CHEMBL3471,4,CCOc1ccc(-c2c(C#N)c(N)nc(SCC(=O)c3cc4cc(Br)cc(Br)c4oc3=O)c2C#N)cc1,Human immunodeficiency virus type 1 integrase,Human immunodeficiency virus 1,Q7ZJM1,IC50,IC50,1,2007,2007,4.77,5.4,0.63
CHEMBL244416,CHEMBL220,4,CCN(Cc1ccccc1)Cc1ccc(-c2cc3cc(OC)c(OC)cc3oc2=O)cc1,Acetylcholinesterase,Homo sapiens,Q9BXP7,Ki; IC50,IC50,4,2007,2016,7.74,7.98,0.24
CHEMBL256768,CHEMBL1871,4,COc1c(OC(C)C)ccc2oc(=O)c3c(ccc4[nH]c(=O)cc(C)c43)c12,Androgen receptor,Homo sapiens,P10275,IC50; Ki; EC50,IC50,1,2008,2008,7.64,8.55,0.91
CHEMBL258241,CHEMBL1871,4,Cc1cc(=O)[nH]c2ccc3c4cc(F)ccc4oc(=O)c3c12,Androgen receptor,Homo sapiens,P10275,IC50; EC50; Ki,IC50,1,2008,2008,6.0,7.57,1.57
CHEMBL274030,CHEMBL3358,4,Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O,Amine oxidase [flavin-containing] A,Rattus norvegicus,Q63817,IC50,IC50,4,1994,2016,6.91,7.92,1.01
CHEMBL276076,CHEMBL2993,4,Cc1c(C)c2ccc(OCc3ccc(F)cc3)cc2oc1=O,Amine oxidase [flavin-containing] B,Rattus norvegicus,Q5EBB5,IC50,IC50,4,1994,2006,8.52,9.4,0.88
CHEMBL315348,CHEMBL3577,4,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,Aldehyde dehydrogenase 1A1,Homo sapiens,Q5SYR1,IC50; Ki,IC50,2,2017,2021,5.92,6.12,0.2
CHEMBL325761,CHEMBL2993,4,Cc1c(C)c2ccc(OCc3ccc(F)c(F)c3)cc2oc1=O,Amine oxidase [flavin-containing] B,Rattus norvegicus,Q5EBB5,IC50,IC50,4,2000,2016,8.94,9.0,0.06
CHEMBL3264002,CHEMBL3587,4,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,Dual specificity mitogen-activated protein kinase kinase 1,Homo sapiens,Q02750,Kd; IC50,IC50,4,2014,2024,6.8,7.52,0.72
CHEMBL3427401,CHEMBL206,4,Cc1cc(F)ccc1-c1c(Oc2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2oc1=O,Estrogen receptor,Homo sapiens,P03372,IC50,IC50,1,2015,2015,7.57,9.4,1.83
CHEMBL3427402,CHEMBL206,4,Cc1cc(OC(F)(F)F)ccc1-c1c(Oc2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2oc1=O,Estrogen receptor,Homo sapiens,P03372,IC50,IC50,1,2015,2015,8.41,9.3,0.89
CHEMBL375046,CHEMBL1978,4,COc1cc(Cn2ccnc2)c2ccc(=O)oc2c1,Aromatase,Homo sapiens,Q8IYJ7,IC50,IC50,3,2004,2017,6.77,6.78,0.01
CHEMBL387892,CHEMBL1978,4,COc1ccc2cc(Cn3ccnc3)c(=O)oc2c1,Aromatase,Homo sapiens,Q8IYJ7,IC50,IC50,3,2004,2011,5.55,5.55,0.0
CHEMBL3959577,CHEMBL284,4,Cc1cc(=O)oc2c3c(ccc12)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,Dipeptidyl peptidase 4,Homo sapiens,Q53TN1,IC50,IC50,2,2016,2021,6.78,6.81,0.03
CHEMBL4065291,CHEMBL1293267,4,O=c1oc2c(Br)cc(Br)cc2cc1-c1nnn[nH]1,G-protein coupled receptor 35,Homo sapiens,Q9HC97,IC50; EC50,EC50,1,2017,2017,5.15,6.42,1.27
CHEMBL4072941,CHEMBL1935,4,Cc1oc2cc3oc(=O)c(C)c(C)c3cc2c1C,"Aldehyde dehydrogenase, mitochondrial",Homo sapiens,Q6IV71,Ki; IC50,Ki,2,2017,2021,6.72,7.46,0.74
CHEMBL4079816,CHEMBL1293267,4,O=c1oc2c([N+](=O)[O-])c(O)c([N+](=O)[O-])cc2cc1-c1nnn[nH]1,G-protein coupled receptor 35,Homo sapiens,Q9HC97,IC50; EC50,EC50,1,2017,2017,6.54,7.89,1.35
CHEMBL4082281,CHEMBL1293267,4,O=C(O)c1cc2cc(Br)c(O)c([N+](=O)[O-])c2oc1=O,G-protein coupled receptor 35,Homo sapiens,Q9HC97,IC50; EC50,EC50,1,2017,2017,6.32,7.51,1.19
CHEMBL4084690,CHEMBL217,4,O=C1CCc2ccc(OCCCCN3CCCN(c4ccc(O)c5oc(=O)ccc45)CC3)cc2N1,D(2) dopamine receptor,Homo sapiens,Q9UPA9,Ki; EC50,Ki,1,2017,2017,6.66,7.43,0.77
CHEMBL4092954,CHEMBL1293267,4,O=c1oc2c(Br)c(O)c(Br)cc2cc1-c1nnn[nH]1,G-protein coupled receptor 35,Homo sapiens,Q9HC97,IC50; EC50,EC50,1,2017,2017,5.81,7.64,1.83
CHEMBL4103143,CHEMBL1293267,4,COc1c(Br)cc2cc(-c3nnn[nH]3)c(=O)oc2c1Br,G-protein coupled receptor 35,Homo sapiens,Q9HC97,IC50; EC50,EC50,1,2017,2017,4.85,6.34,1.49
CHEMBL4164140,CHEMBL3785,4,COc1ccc(-c2cc3cc(C4Nc5ccccc5C(=O)N4C)cc(C)c3oc2=O)cc1,Hydroxycarboxylic acid receptor 2,Homo sapiens,Q8TDS4,EC50,EC50,1,2018,2018,5.77,7.97,2.2
CHEMBL4174798,CHEMBL3785,4,Cc1ccc(-c2cc3cc(C4Nc5ccccc5C(=O)N4C)cc(C)c3oc2=O)cc1,Hydroxycarboxylic acid receptor 2,Homo sapiens,Q8TDS4,EC50,EC50,1,2018,2018,6.63,7.52,0.89
CHEMBL427247,CHEMBL1978,4,O=c1cc(Cn2ccnc2)c2ccccc2o1,Aromatase,Homo sapiens,Q8IYJ7,IC50,IC50,3,2004,2017,5.68,5.68,0.0
CHEMBL440526,CHEMBL3229,4,CCCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,Fatty-acid amide hydrolase 1,Rattus norvegicus,Q5BKA3,IC50,IC50,2,2012,2016,6.21,7.54,1.33
CHEMBL4526845,CHEMBL256,4,O=c1oc2c(O)cccc2cc1-c1ccc(Br)cc1,Adenosine receptor A3,Homo sapiens,Q9BYZ1,Ki; IC50,Ki,2,2020,2022,5.42,6.59,1.17
CHEMBL4788526,CHEMBL2061,4,CCN(c1ccc(C(=O)O)cn1)c1cc(OCC(C)C)c(C(C)C)cc1NC(=O)c1cc2cc3c4c(c2oc1=O)CCCN4CCC3,Retinoic acid receptor RXR-alpha,Homo sapiens,P19793,Kd; Ki,Kd,1,2021,2021,6.48,6.93,0.45
CHEMBL483526,CHEMBL1951,4,COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1,Amine oxidase [flavin-containing] A,Homo sapiens,Q16426,Ki; IC50,IC50,3,2018,2020,5.77,6.47,0.7
CHEMBL4848404,CHEMBL4739844,4,Cc1c(CN2CC3(CCN(c4nccn5ccnc45)CC3)NC2=O)c(=O)oc2cc(OCC(C)c3ccccc3)ccc12,Immunoglobulin lambda variable 6-57,Homo sapiens,P06319,EC50,EC50,1,2021,2021,6.32,6.84,0.52
CHEMBL4866500,CHEMBL4739844,4,Cc1c(CCN2CC3(CCN(c4nccn5ccnc45)CC3)NC2=O)c(=O)oc2cc(OCC(C)c3ccccc3)ccc12,Immunoglobulin lambda variable 6-57,Homo sapiens,P06319,EC50,EC50,1,2021,2021,7.94,8.41,0.47
CHEMBL4878979,CHEMBL1293267,4,COc1ccccc1-c1cc2cc(C(=O)O)c(=O)oc2c2cc(C(=O)O)c(=O)oc12,G-protein coupled receptor 35,Homo sapiens,Q9HC97,IC50; Ki; EC50,IC50,2,2021,2023,6.32,7.66,1.34
CHEMBL5089227,CHEMBL2916,4,Cc1cn([C@H]2C[C@@H](n3cc(COc4ccc5oc(=O)ccc5c4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,Telomerase reverse transcriptase,Homo sapiens,Q8NG46,IC50,IC50,1,2021,2021,4.49,5.24,0.75
CHEMBL51628,CHEMBL3594,4,O=c1ccc2ccc(O)cc2o1,Carbonic anhydrase 9,Homo sapiens,Q5T4R1,Ki,Ki,4,2010,2018,6.32,7.6,1.28
CHEMBL5209359,CHEMBL1945,4,CCN(CC)c1ccc2c(COC(=O)n3cc(CCNC(C)=O)c4cc(OC)ccc43)cc(=O)oc2c1,Melatonin receptor type 1A,Homo sapiens,P48039,EC50; Ki,EC50,1,2022,2022,7.46,9.35,1.89
CHEMBL5209359,CHEMBL1946,4,CCN(CC)c1ccc2c(COC(=O)n3cc(CCNC(C)=O)c4cc(OC)ccc43)cc(=O)oc2c1,Melatonin receptor type 1B,Homo sapiens,P49286,EC50; Ki,EC50,1,2022,2022,7.47,9.19,1.72
CHEMBL572366,CHEMBL205,4,COc1cc2oc(=O)ccc2cc1[C@@H](O)CC(C)C,Carbonic anhydrase 2,Homo sapiens,P00918,Ki,Ki,4,2010,2013,4.37,7.23,2.86
CHEMBL572366,CHEMBL261,4,COc1cc2oc(=O)ccc2cc1[C@@H](O)CC(C)C,Carbonic anhydrase 1,Homo sapiens,P00915,Ki,Ki,4,2010,2013,7.1,7.11,0.01
CHEMBL75121,CHEMBL1914,4,COc1cc2cc(-c3ccc(CN(C)Cc4ccccc4)cc3)c(=O)oc2cc1OC,Cholinesterase,Homo sapiens,P06276,IC50,IC50,4,2003,2012,4.31,4.31,0.0
CHEMBL1078442,CHEMBL4822,3,CC(C)=CCC/C(C)=C/COc1c2ccoc2cc2oc(=O)ccc12,Beta-secretase 1,Homo sapiens,P56817,Ki; IC50,Ki,1,2012,2012,4.46,6.16,1.7
CHEMBL108660,CHEMBL2993,3,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12,Amine oxidase [flavin-containing] B,Rattus norvegicus,Q5EBB5,IC50,IC50,3,2000,2006,7.74,7.74,0.0
CHEMBL108697,CHEMBL3358,3,Cc1c(C)c2ccc(OCc3cccc(F)c3)cc2oc1=O,Amine oxidase [flavin-containing] A,Rattus norvegicus,Q63817,IC50,IC50,3,2000,2016,6.24,6.24,0.0
CHEMBL109018,CHEMBL2993,3,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,Amine oxidase [flavin-containing] B,Rattus norvegicus,Q5EBB5,IC50,IC50,3,2000,2006,8.48,8.48,0.0
CHEMBL109085,CHEMBL2993,3,Cc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,Amine oxidase [flavin-containing] B,Rattus norvegicus,Q5EBB5,IC50,IC50,3,2000,2006,8.36,8.36,0.0
CHEMBL111309,CHEMBL3358,3,Cc1c(C)c2ccc(OCc3ccccc3)cc2oc1=O,Amine oxidase [flavin-containing] A,Rattus norvegicus,Q63817,IC50,IC50,2,2000,2001,6.16,6.25,0.09
CHEMBL111310,CHEMBL2993,3,COc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,Amine oxidase [flavin-containing] B,Rattus norvegicus,Q5EBB5,IC50,IC50,3,2000,2006,8.44,8.44,0.0
CHEMBL113230,CHEMBL253,3,CCCCCCC(C)(C)c1cc(O)c2c(c1)oc(=O)c1ccc(C)cc12,Cannabinoid receptor 2,Homo sapiens,Q6NSY0,Ki; EC50,Ki,2,1997,2016,7.76,8.51,0.75
CHEMBL11382,CHEMBL3559,3,NS(=O)(=O)Oc1ccc2ccc(=O)oc2c1,Steryl-sulfatase,Homo sapiens,P08842,IC50,IC50,3,2001,2019,4.92,5.86,0.94
CHEMBL1256851,CHEMBL4633,3,O=c1ccc2c(OCCCCc3ccccc3)c3ccoc3cc2o1,Potassium voltage-gated channel subfamily A member 3,Homo sapiens,Q6P2D3,IC50,IC50,2,2010,2023,6.14,8.54,2.4
CHEMBL1392132,CHEMBL2085,3,COc1ccc(-c2cc3ccc(O)cc3oc2=O)cc1,Macrophage migration inhibitory factor,Homo sapiens,P14174,Ki; Kd; IC50,Ki,1,2020,2020,6.25,6.43,0.18
CHEMBL140796,CHEMBL2231,3,COc1c2ccoc2c(OC)c2oc(=O)ccc12,Cytochrome P450 1A1,Homo sapiens,Q53G18,Ki; IC50; EC50,Ki,1,2018,2018,4.86,7.92,3.06
