target_chembl_id,record_count,unique_compounds,target_name,target_organism,uniprot_accession,endpoint_types,dominant_endpoint,endpoint_homogeneity,doi_count,year_min,year_max,pchembl_min,pchembl_max,pchembl_range
CHEMBL214,82,74,5-hydroxytryptamine receptor 1A,Homo sapiens,Q6LAE7,Ki; IC50,Ki,0.9024,7,2010,2021,5.46,9.52,4.06
CHEMBL242,82,72,Estrogen receptor beta,Homo sapiens,Q9UQK9,IC50; EC50,IC50,0.9024,6,2004,2022,4.75,8.94,4.19
CHEMBL3622,72,70,Cytochrome P450 2C19,Homo sapiens,Q9UCD4,AC50; IC50,AC50,0.8889,6,2009,2023,4.21,7.2,2.99
CHEMBL3397,79,68,Cytochrome P450 2C9,Homo sapiens,Q8WW80,IC50; AC50; Ki,AC50,0.6582,9,2000,2023,4.02,8.25,4.23
CHEMBL273,71,66,5-hydroxytryptamine receptor 1A,Rattus norvegicus,P19327,Ki; IC50; EC50,Ki,0.9155,8,1998,2018,5.51,10.92,5.41
CHEMBL322,64,64,5-hydroxytryptamine receptor 2A,Rattus norvegicus,P14842,Ki,Ki,1.0,3,2003,2014,5.51,9.52,4.01
CHEMBL224,63,62,5-hydroxytryptamine receptor 2A,Homo sapiens,Q5T8C0,Ki; IC50,Ki,0.9841,6,2013,2021,5.34,9.52,4.18
CHEMBL1293267,189,61,G-protein coupled receptor 35,Homo sapiens,Q9HC97,EC50; IC50; Ki,IC50,0.5079,5,2012,2023,4.0,9.51,5.51
CHEMBL230,60,60,Prostaglandin G/H synthase 2,Homo sapiens,Q16876,IC50,IC50,1.0,6,2012,2021,4.09,7.05,2.96
CHEMBL339,59,59,D(2) dopamine receptor,Rattus norvegicus,P61169,Ki; IC50,Ki,0.9831,5,2003,2014,5.52,8.85,3.33
CHEMBL1871,102,57,Androgen receptor,Homo sapiens,P10275,IC50; EC50; Ki,IC50,0.598,9,1999,2022,4.3,9.7,5.4
CHEMBL4361,89,55,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,Q07820,IC50; Ki,IC50,0.5955,2,2016,2021,4.08,6.68,2.6
CHEMBL3587,64,55,Dual specificity mitogen-activated protein kinase kinase 1,Homo sapiens,Q02750,IC50; Kd,IC50,0.9531,10,2005,2024,3.56,8.3,4.74
CHEMBL219,70,51,D(4) dopamine receptor,Homo sapiens,Q8NGM5,Ki; IC50,Ki,0.9571,5,1997,2021,5.3,8.89,3.59
CHEMBL3559,100,50,Steryl-sulfatase,Homo sapiens,P08842,IC50,IC50,1.0,36,1996,2024,4.05,9.17,5.12
CHEMBL3471,77,49,Human immunodeficiency virus type 1 integrase,Human immunodeficiency virus 1,Q7ZJM1,IC50,IC50,1.0,15,1997,2022,4.04,7.89,3.85
CHEMBL4879514,55,46,Microtubule-associated proteins 1A/1B light chain 3B,Homo sapiens,Q9GZQ8,Ki; IC50; Kd,Ki,0.8,2,2021,2024,4.01,6.7,2.69
CHEMBL4822,65,45,Beta-secretase 1,Homo sapiens,P56817,IC50; Ki,IC50,0.8923,11,2006,2022,4.0,7.03,3.03
CHEMBL4879518,61,44,Microtubule-associated proteins 1A/1B light chain 3A,Homo sapiens,Q9H492,Ki; IC50; Kd,Ki,0.7213,1,2021,2021,4.04,5.55,1.51
CHEMBL1906,48,43,RAF proto-oncogene serine/threonine-protein kinase,Homo sapiens,P04049,IC50,IC50,1.0,4,2013,2022,4.57,8.4,3.83
CHEMBL4117,43,43,Aminopeptidase N,Plasmodium falciparum FcB1/Columbia,Q8IEK1,IC50,IC50,1.0,0,,,4.13,5.01,0.88
CHEMBL3623,81,41,NAD(P)H dehydrogenase [quinone] 1,Homo sapiens,Q86UK1,IC50; EC50,IC50,0.9877,5,2006,2018,4.2,9.74,5.54
CHEMBL4739844,79,41,Immunoglobulin lambda variable 6-57,Homo sapiens,P06319,EC50,EC50,1.0,1,2021,2021,4.58,8.41,3.83
CHEMBL2821,43,40,Coagulation factor XII,Homo sapiens,P78339,IC50; Ki,IC50,0.7442,5,2008,2023,4.38,7.21,2.83
CHEMBL218,55,39,Cannabinoid receptor 1,Homo sapiens,Q9UNN0,Ki; EC50,Ki,0.9091,4,2009,2021,4.68,7.66,2.98
CHEMBL2916,42,39,Telomerase reverse transcriptase,Homo sapiens,Q8NG46,IC50,IC50,1.0,7,2010,2023,4.23,6.09,1.86
CHEMBL221,39,39,Prostaglandin G/H synthase 1,Homo sapiens,Q5T7T8,IC50,IC50,1.0,5,2005,2018,4.01,4.58,0.57
CHEMBL2756,39,39,Amine oxidase [flavin-containing] B,Bos taurus,Q864W3,Ki,Ki,1.0,2,2006,2012,5.2,6.32,1.12
CHEMBL1075322,38,38,G-protein coupled receptor 55,Homo sapiens,Q9Y2T6,IC50; EC50,IC50,0.8684,1,2013,2013,4.79,6.95,2.16
CHEMBL5979,38,38,"Alkaline phosphatase, tissue-nonspecific isozyme",Homo sapiens,Q9UBK0,IC50,IC50,1.0,2,2017,2023,4.59,6.6,2.01
CHEMBL1795098,37,37,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,Homo sapiens,Q9GZU7,IC50,IC50,1.0,0,,,4.49,5.7,1.21
CHEMBL5939,37,37,Endoplasmic reticulum aminopeptidase 1,Homo sapiens,Q9UKY2,AC50,AC50,1.0,0,,,4.9,5.84,0.94
CHEMBL4234,36,36,17-beta-hydroxysteroid dehydrogenase type 3,Homo sapiens,Q5U0Q6,IC50,IC50,1.0,1,2010,2010,5.0,8.82,3.82
CHEMBL4306,37,35,Potassium voltage-gated channel subfamily A member 5,Homo sapiens,Q9UDA4,EC50; IC50,EC50,0.9189,3,2006,2023,4.92,8.11,3.19
CHEMBL5508,35,35,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Rattus norvegicus,Q63470,AC50; IC50,AC50,0.6,1,2012,2012,4.58,7.17,2.59
CHEMBL256,41,32,Adenosine receptor A3,Homo sapiens,Q9BYZ1,Ki; IC50; AC50,Ki,0.8293,3,2020,2023,4.53,6.59,2.06
CHEMBL5573,33,32,Intestinal-type alkaline phosphatase,Homo sapiens,Q9UCL2,IC50,IC50,1.0,1,2017,2017,4.69,5.96,1.27
CHEMBL2414,31,31,C-C chemokine receptor type 4,Homo sapiens,Q9ULY7,IC50,IC50,1.0,1,2010,2010,4.23,7.67,3.44
CHEMBL3251,31,31,Nuclear factor NF-kappa-B p105 subunit,Homo sapiens,Q9NZC0,EC50; IC50,EC50,0.7742,2,2010,2013,4.0,5.6,1.6
CHEMBL4302,31,31,ATP-dependent translocase ABCB1,Homo sapiens,Q14812,IC50,IC50,1.0,5,2014,2020,4.36,7.16,2.8
CHEMBL1826,54,30,DNA gyrase subunit B,Escherichia coli,Q2M811,IC50; Kd; Ki,IC50,0.9444,4,2008,2018,5.5,8.92,3.42
CHEMBL1895,30,30,DNA topoisomerase 4 subunit A,Escherichia coli K-12,Q2M9I1,IC50,IC50,1.0,1,2019,2019,4.53,7.0,2.47
CHEMBL4005,30,30,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Homo sapiens,P42336,IC50,IC50,1.0,5,2019,2024,4.28,8.68,4.4
CHEMBL2085,54,29,Macrophage migration inhibitory factor,Homo sapiens,P14174,Ki; Kd; IC50,Ki,0.6111,6,2001,2020,4.19,7.8,3.61
CHEMBL4523503,50,29,Chloride anion exchanger,Mus musculus,Q9WVC8,IC50,IC50,1.0,1,2019,2021,4.75,7.64,2.89
CHEMBL1858,29,29,DNA gyrase subunit A,Escherichia coli K-12,P0AES4,IC50,IC50,1.0,1,2019,2019,4.18,7.4,3.22
CHEMBL215,52,28,Polyunsaturated fatty acid 5-lipoxygenase,Homo sapiens,Q5JQ14,IC50,IC50,1.0,8,1992,2022,4.44,9.3,4.86
CHEMBL289,29,28,Cytochrome P450 2D6,Homo sapiens,Q6NXU8,AC50; IC50,AC50,0.7586,6,2003,2023,4.13,7.3,3.17
CHEMBL4768,29,28,Acetylcholinesterase,Bos taurus,Q08D79,IC50; Ki,IC50,0.9655,3,2008,2013,4.18,9.0,4.82
CHEMBL2424506,28,28,DNA gyrase subunit A,Staphylococcus aureus,P20831,IC50,IC50,1.0,1,2019,2019,4.36,6.1,1.74
CHEMBL3912,28,28,Carbonic anhydrase 13,Homo sapiens,Q8N1Q1,Ki,Ki,1.0,3,2010,2013,4.02,5.5,1.48
CHEMBL3229,54,27,Fatty-acid amide hydrolase 1,Rattus norvegicus,Q5BKA3,IC50,IC50,1.0,3,2012,2022,5.04,8.88,3.84
CHEMBL5282,41,27,Cytochrome P450 2A6,Homo sapiens,Q9UK48,Ki; IC50; Kd,Ki,0.7805,4,2005,2023,4.57,10.24,5.67
CHEMBL1293228,37,27,Streptokinase A,Streptococcus pyogenes serotype M1,Q48WH3,EC50,EC50,1.0,0,,,4.29,6.95,2.66
CHEMBL4161,28,27,Urease,Canavalia ensiformis,P07374,IC50,IC50,1.0,3,2008,2022,4.04,6.45,2.41
CHEMBL3130,27,27,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Homo sapiens,Q5SR49,IC50,IC50,1.0,3,2009,2019,4.17,6.92,2.75
CHEMBL3145,26,26,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Homo sapiens,Q24JU2,IC50,IC50,1.0,3,2009,2019,4.17,6.92,2.75
CHEMBL3267,26,26,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Homo sapiens,P48736,IC50,IC50,1.0,2,2019,2019,4.37,7.09,2.72
CHEMBL1293246,38,25,Beta Lactamase,Pseudomonas aeruginosa,Q932Y6,IC50,IC50,1.0,0,,,4.41,6.28,1.87
CHEMBL203,33,25,Epidermal growth factor receptor,Homo sapiens,P00533,IC50,IC50,1.0,8,2007,2024,5.12,8.05,2.93
CHEMBL1163101,36,24,Serine/threonine-protein kinase/endoribonuclease IRE1,Homo sapiens,Q59EE2,IC50; Kd; EC50,IC50,0.8889,2,2014,2019,4.79,7.33,2.54
CHEMBL1075138,26,24,Tyrosyl-DNA phosphodiesterase 1,Homo sapiens,Q9NZM8,IC50,IC50,1.0,3,2010,2020,4.65,7.0,2.35
CHEMBL251,26,24,Adenosine receptor A2a,Homo sapiens,P29274,Ki; IC50; AC50,Ki,0.9231,4,2016,2023,4.19,6.13,1.94
CHEMBL3198,25,24,Acetylcholinesterase,Mus musculus,P21836,IC50,IC50,1.0,3,2014,2022,4.04,6.4,2.36
CHEMBL1900,24,24,Aldo-keto reductase family 1 member B1,Homo sapiens,P15121,IC50,IC50,1.0,3,2010,2017,4.13,7.01,2.88
CHEMBL217,48,23,D(2) dopamine receptor,Homo sapiens,Q9UPA9,Ki; IC50; EC50,Ki,0.75,11,1997,2023,4.79,8.7,3.91
CHEMBL3706,37,23,Disintegrin and metalloproteinase domain-containing protein 17,Homo sapiens,P78536,IC50,IC50,1.0,3,1999,2010,4.91,9.57,4.66
CHEMBL3621036,23,23,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",Homo sapiens,Q7Z650,IC50,IC50,1.0,2,2019,2019,5.42,8.2,2.78
CHEMBL234,36,22,D(3) dopamine receptor,Homo sapiens,Q4VBM8,Ki; IC50,Ki,0.9722,9,1997,2021,5.56,8.74,3.18
CHEMBL4422,25,22,Free fatty acid receptor 1,Homo sapiens,Q4VBL4,EC50,EC50,1.0,2,2022,2022,4.49,6.85,2.36
CHEMBL3510,23,22,Carbonic anhydrase 14,Homo sapiens,Q9ULX7,Ki,Ki,1.0,5,2008,2012,5.05,7.4,2.35
CHEMBL2176851,22,22,Replicative DNA helicase,Bacillus anthracis,Q81JI8,IC50,IC50,1.0,1,2012,2012,4.07,5.82,1.75
CHEMBL1908,22,21,"Cytochrome P450 11B1, mitochondrial",Homo sapiens,Q9UML2,IC50,IC50,1.0,2,2011,2015,6.03,8.3,2.27
CHEMBL2722,22,21,"Cytochrome P450 11B2, mitochondrial",Homo sapiens,Q16726,IC50,IC50,1.0,2,2011,2015,5.66,7.11,1.45
CHEMBL3775,22,21,M-phase inducer phosphatase 1,Homo sapiens,Q9H2F2,IC50,IC50,1.0,4,2010,2020,4.02,5.92,1.9
CHEMBL2186,21,21,Carbonic anhydrase 13,Mus musculus,Q9D6N1,Ki,Ki,1.0,3,2008,2010,4.69,7.35,2.66
CHEMBL3072,21,21,Androgen receptor,Rattus norvegicus,Q63049,IC50; Ki,IC50,0.619,2,2005,2019,5.41,7.04,1.63
CHEMBL4523223,22,20,Chloride anion exchanger,Homo sapiens,P40879,IC50,IC50,1.0,1,2021,2024,6.05,7.6,1.55
CHEMBL2378,21,20,M-phase inducer phosphatase 3,Homo sapiens,Q9H2F1,IC50,IC50,1.0,4,2010,2020,4.14,7.0,2.86
CHEMBL3025,21,20,Carbonic anhydrase 6,Homo sapiens,Q9UF03,Ki,Ki,1.0,5,2008,2012,4.03,7.0,2.97
CHEMBL1930,20,20,Vitamin K epoxide reductase complex subunit 1,Homo sapiens,Q9BQB6,Ki; IC50,IC50,0.8,3,2012,2023,4.1,8.35,4.25
CHEMBL2622,20,20,Aldo-keto reductase family 1 member B1,Rattus norvegicus,P07943,IC50,IC50,1.0,2,1986,2012,4.21,7.7,3.49
CHEMBL281,20,20,Carbonic anhydrase 4,Bos taurus,Q95323,Ki,Ki,1.0,1,2000,2000,6.5,9.22,2.72
CHEMBL312,20,20,Polyunsaturated fatty acid 5-lipoxygenase,Rattus norvegicus,P12527,IC50,IC50,1.0,1,2017,2017,5.2,6.06,0.86
CHEMBL3649,20,20,Xanthine dehydrogenase/oxidase,Bos taurus,Q95325,IC50,IC50,1.0,5,2017,2024,4.19,5.67,1.48
CHEMBL4088,20,20,DNA topoisomerase 4 subunit A,Staphylococcus aureus,P95683,IC50,IC50,1.0,1,2019,2019,4.0,6.52,2.52
CHEMBL3142,24,19,DNA-dependent protein kinase catalytic subunit,Homo sapiens,Q9UME3,IC50,IC50,1.0,3,2005,2015,4.95,6.22,1.27
CHEMBL3571,22,19,Cannabinoid receptor 1,Rattus norvegicus,P20272,Ki; EC50,Ki,0.9545,3,1997,2009,4.72,8.02,3.3
CHEMBL5973,20,19,Carbonic anhydrase 15,Mus musculus,Q99N23,Ki,Ki,1.0,2,2010,2010,4.03,7.34,3.31
CHEMBL4093,21,18,Oxysterols receptor LXR-beta,Homo sapiens,Q5I0Y1,EC50,EC50,1.0,3,2015,2016,5.1,6.02,0.92
CHEMBL1287620,18,18,Fructose-bisphosphate aldolase,Mycobacterium tuberculosis,P9WQA3,IC50,IC50,1.0,0,,,5.43,6.04,0.61
CHEMBL226,18,18,Adenosine receptor A1,Homo sapiens,Q8TAM8,Ki,Ki,1.0,3,2016,2022,4.39,5.62,1.23
CHEMBL2885,18,18,Carbonic anhydrase 3,Homo sapiens,P07451,Ki,Ki,1.0,3,2010,2012,4.02,5.42,1.4
CHEMBL279,21,17,Vascular endothelial growth factor receptor 2,Homo sapiens,P35968,IC50; AC50,IC50,0.9524,9,2012,2024,4.47,7.49,3.02
CHEMBL2949,17,17,Prostaglandin G/H synthase 1,Ovis aries,P05979,IC50,IC50,1.0,4,2012,2021,4.28,5.79,1.51
CHEMBL1293251,18,16,ATP-dependent molecular chaperone HSP82,Candida albicans (strain WO-1) (Yeast),C4YTQ8,EC50,EC50,1.0,0,,,4.66,6.19,1.53
CHEMBL5145,18,16,Serine/threonine-protein kinase B-raf,Homo sapiens,P15056,IC50; Kd,IC50,0.9444,5,2012,2022,4.47,8.15,3.68
CHEMBL5620,18,16,Proteasome subunit beta type-8,Homo sapiens,Q96J48,IC50,IC50,1.0,2,2019,2019,5.74,8.05,2.31
CHEMBL1741189,16,16,FAD-linked sulfhydryl oxidase ALR,Homo sapiens,Q9UK40,AC50,AC50,1.0,0,,,4.03,7.04,3.01
CHEMBL2366,16,16,Trypsin,Sus scrofa,P00761,AC50; IC50,AC50,0.9375,0,2015,2015,4.62,5.82,1.2
CHEMBL335,16,16,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens,P18031,IC50,IC50,1.0,4,2009,2020,4.04,6.39,2.35
CHEMBL3943,16,16,Histamine H1 receptor,Cavia porcellus,P31389,Ki; Kd,Ki,0.5625,3,1984,2014,4.0,9.0,5.0
CHEMBL235,17,15,Peroxisome proliferator-activated receptor gamma,Homo sapiens,P37231,Ki; EC50,EC50,0.9412,3,2008,2023,4.25,9.0,4.75
CHEMBL239,17,15,Peroxisome proliferator-activated receptor alpha,Homo sapiens,Q07869,IC50; EC50,EC50,0.7647,3,2006,2017,4.9,9.0,4.1
CHEMBL4878,16,15,Cytochrome P450 1B1,Homo sapiens,Q9H316,IC50; Ki,Ki,0.8125,3,2015,2018,4.33,6.66,2.33
CHEMBL1250413,15,15,CAAX prenyl protease 2,Saccharomyces cerevisiae S288c,Q03530,AC50,AC50,1.0,0,,,4.38,5.02,0.64
CHEMBL1293200,15,15,Zn finger protein,Nicotiana tabacum,Q43570,Ki,Ki,1.0,1,2010,2010,4.11,9.01,4.9
CHEMBL2541,15,15,"C-1-tetrahydrofolate synthase, cytoplasmic",Homo sapiens,Q9BVP5,IC50,IC50,1.0,1,2019,2019,4.57,6.24,1.67
CHEMBL288,15,15,"3',5'-cyclic-AMP phosphodiesterase 4D",Homo sapiens,Q08499,IC50; AC50,IC50,0.9333,3,2014,2023,4.78,6.85,2.07
CHEMBL4105870,15,15,Vitamin K epoxide reductase complex subunit 1,Rattus norvegicus,Q6TEK4,Ki,Ki,1.0,1,2017,2017,4.66,7.7,3.04
CHEMBL1935,25,14,"Aldehyde dehydrogenase, mitochondrial",Homo sapiens,Q6IV71,Ki; IC50,IC50,0.72,3,2001,2021,5.25,7.72,2.47
CHEMBL4531,23,14,Galectin-3,Homo sapiens,P17931,Kd,Kd,1.0,4,2014,2023,4.11,8.7,4.59
CHEMBL2487,18,14,Amyloid-beta precursor protein,Homo sapiens,P05067,IC50,IC50,1.0,4,2013,2024,4.0,8.1,4.1
CHEMBL240,15,14,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,Q9H3P0,IC50; EC50; Ki; AC50,IC50,0.8,7,2005,2023,4.29,7.51,3.22
CHEMBL275,15,14,"3',5'-cyclic-AMP phosphodiesterase 4B",Homo sapiens,Q5TEK6,IC50,IC50,1.0,2,2010,2020,5.93,9.0,3.07
CHEMBL3138,15,14,D(3) dopamine receptor,Rattus norvegicus,P70647,Ki; IC50,Ki,0.6667,2,2013,2015,6.75,8.37,1.62
CHEMBL4680039,14,14,Myosin-2,Bos taurus,Q9BE41,IC50,IC50,1.0,1,2020,2020,4.0,5.54,1.54
CHEMBL3577,19,13,Aldehyde dehydrogenase 1A1,Homo sapiens,Q5SYR1,IC50; Ki,IC50,0.7895,3,2017,2021,4.53,6.89,2.36
CHEMBL1795151,15,13,Bis(5'-adenosyl)-triphosphatase,Homo sapiens,Q6IU12,IC50,IC50,1.0,1,2021,2021,4.3,7.22,2.92
CHEMBL3004,13,13,Multidrug resistance-associated protein 1,Homo sapiens,Q9UQA0,IC50,IC50,1.0,1,2019,2019,4.14,5.44,1.3
CHEMBL6145,13,13,Inosine-5'-monophosphate dehydrogenase,Cryptosporidium parvum,Q8T6T2,IC50,IC50,1.0,1,2014,2014,5.6,7.7,2.1
CHEMBL344,23,12,Melanin-concentrating hormone receptor 1,Homo sapiens,Q9BV08,IC50,IC50,1.0,2,2005,2007,5.99,9.0,3.01
CHEMBL2231,16,12,Cytochrome P450 1A1,Homo sapiens,Q53G18,Ki; IC50; EC50,Ki,0.6875,3,2015,2022,4.22,7.92,3.7
CHEMBL2635,16,12,Dual specificity protein phosphatase 3,Homo sapiens,Q8IYJ9,IC50,IC50,1.0,1,2013,2013,4.6,5.81,1.21
CHEMBL5983,13,12,Aldo-keto reductase family 1 member B10,Homo sapiens,Q8IWZ1,IC50; Ki,IC50,0.9231,1,2017,2017,5.57,8.64,3.07
CHEMBL2007628,12,12,Tyrosine-protein phosphatase non-receptor type 5,Homo sapiens,Q8NDP8,IC50,IC50,1.0,2,2019,2020,4.44,5.53,1.09
CHEMBL2284,12,12,Glyceraldehyde-3-phosphate dehydrogenase,Homo sapiens,Q53X65,IC50,IC50,1.0,1,2004,2004,4.07,4.77,0.7
CHEMBL3254,12,12,Amine oxidase [flavin-containing] A,Bos taurus,Q0IIE7,Ki,Ki,1.0,2,2006,2012,5.62,11.0,5.38
CHEMBL3411,12,12,CAAX prenyl protease 2,Homo sapiens,Q9Y256,AC50,AC50,1.0,0,,,4.01,6.12,2.11
CHEMBL4102,12,12,Prostaglandin G/H synthase 2,Ovis aries,P79208,IC50,IC50,1.0,2,2014,2019,5.36,6.39,1.03
CHEMBL5313,12,11,Heat shock factor protein 1,Mus musculus,P38532,EC50; AC50,EC50,0.6667,0,,,4.14,6.68,2.54
CHEMBL1806,11,11,DNA topoisomerase 2-alpha,Homo sapiens,Q9UQP9,IC50,IC50,1.0,2,2017,2021,4.58,5.0,0.42
CHEMBL1824,11,11,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,P04626,IC50,IC50,1.0,2,2012,2024,5.45,6.89,1.44
CHEMBL1849,11,11,Enoyl-[acyl-carrier-protein] reductase [NADH],Mycobacterium tuberculosis,P9WGR1,IC50,IC50,1.0,1,2023,2023,5.45,7.27,1.82
CHEMBL2074,11,11,Maltase-glucoamylase,Homo sapiens,Q86UM5,IC50,IC50,1.0,5,2017,2024,4.04,6.05,2.01
CHEMBL2903,11,11,Polyunsaturated fatty acid lipoxygenase ALOX15,Homo sapiens,Q99657,IC50,IC50,1.0,2,2012,2023,4.37,6.13,1.76
CHEMBL324,11,11,5-hydroxytryptamine receptor 2C,Rattus norvegicus,P08909,IC50; Ki,Ki,0.5455,1,2013,2015,5.72,7.92,2.2
CHEMBL3712907,11,11,Transmembrane domain-containing protein TMIGD3,Homo sapiens,Q9BYZ1,Ki,Ki,1.0,1,2016,2016,4.65,6.13,1.48
CHEMBL4333,11,11,Sphingosine 1-phosphate receptor 1,Homo sapiens,Q9NYN8,EC50,EC50,1.0,0,2017,2017,4.03,8.51,4.48
CHEMBL4586,11,11,Seed linoleate 13S-lipoxygenase-1,Glycine max,P08170,IC50,IC50,1.0,2,2005,2023,4.0,6.17,2.17
CHEMBL6136,11,11,Lysine-specific histone demethylase 1A,Homo sapiens,O60341,IC50,IC50,1.0,3,2014,2024,4.08,7.48,3.4
CHEMBL284,13,10,Dipeptidyl peptidase 4,Homo sapiens,Q53TN1,IC50,IC50,1.0,3,2011,2021,4.06,6.81,2.75
CHEMBL2147,12,10,Serine/threonine-protein kinase pim-1,Homo sapiens,P11309,IC50; Ki,IC50,0.9167,5,2012,2024,4.59,7.26,2.67
CHEMBL3864,11,10,Tyrosine-protein phosphatase non-receptor type 11,Homo sapiens,Q06124,IC50,IC50,1.0,2,2020,2022,5.13,7.51,2.38
CHEMBL204,10,10,Prothrombin,Homo sapiens,P00734,IC50; Ki,IC50,0.8,5,2005,2023,4.32,7.0,2.68
CHEMBL2334,10,10,Caspase-3,Homo sapiens,P42574,IC50; AC50; EC50,IC50,0.8,2,2005,2010,4.42,6.02,1.6
CHEMBL2366517,10,10,Protease,Human immunodeficiency virus 1,Q9YQ12,IC50,IC50,1.0,1,2013,2013,4.46,4.67,0.21
CHEMBL5339,10,10,Free fatty acid receptor 4,Homo sapiens,Q86SM7,EC50,EC50,1.0,1,2022,2022,5.36,6.82,1.46
CHEMBL5567,18,9,Luciferin 4-monooxygenase,Photinus pyralis,Q27755,AC50; IC50; EC50,IC50,0.5556,1,2008,2008,4.85,7.05,2.2
