case_id,target_label,target_chembl_id,target_name,target_organism,endpoint,compound_id_a,compound_id_b,canonical_smiles_a,canonical_smiles_b,median_pactivity_a,median_pactivity_b,delta_pactivity,tanimoto_ecfp4,fingerprint_distance,sali,activity_cliff_flag,duplicate_structure_flag,more_active_compound_id,less_active_compound_id,more_active_pactivity,less_active_pactivity,record_count_a,record_count_b,doi_count_a,doi_count_b,representative_rank
CA9_HUMAN_KI,Human CA9,CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,Ki,CHEMBL4639447,CHEMBL5089227,Cc1cn([C@H]2C[C@H](n3cc(CCCOc4ccc5oc(=O)ccc5c4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,Cc1cn([C@H]2C[C@@H](n3cc(COc4ccc5oc(=O)ccc5c4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,7.67,4.18,3.49,0.8571428571428571,0.1428571428571429,24.429999999999993,1,0,CHEMBL4639447,CHEMBL5089227,7.67,4.18,1,1,1,1,1
CA9_HUMAN_KI,Human CA9,CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,Ki,CHEMBL4639447,CHEMBL4644555,Cc1cn([C@H]2C[C@H](n3cc(CCCOc4ccc5oc(=O)ccc5c4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,Cc1cn([C@H]2C[C@H](n3cc(CCCOc4ccc5ccc(=O)oc5c4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,7.67,5.53,2.1399999999999997,0.9078947368421053,0.09210526315789469,23.234285714285722,1,0,CHEMBL4639447,CHEMBL4644555,7.67,5.53,1,1,1,1,2
CA9_HUMAN_KI,Human CA9,CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,Ki,CHEMBL4763272,CHEMBL4746114,NS(=O)(=O)c1ccc(C(=O)N/N=C(\CS(=O)(=O)c2ccccc2)c2cc3ccccc3oc2=O)cc1,O=C(N/N=C(\CS(=O)(=O)c1ccccc1)c1cc2ccccc2oc1=O)c1ccccc1,7.73,4.8,2.9300000000000006,0.8518518518518519,0.14814814814814814,19.777500000000003,1,0,CHEMBL4763272,CHEMBL4746114,7.73,4.8,1,1,1,1,3
CA9_HUMAN_KI,Human CA9,CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,Ki,CHEMBL4639447,CHEMBL4635964,Cc1cn([C@H]2C[C@H](n3cc(CCCOc4ccc5oc(=O)ccc5c4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,Cc1cn([C@H]2C[C@H](n3cc(COc4ccc5oc(=O)ccc5c4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,7.67,5.18,2.49,0.8571428571428571,0.1428571428571429,17.429999999999996,1,0,CHEMBL4639447,CHEMBL4635964,7.67,5.18,1,1,1,1,4
CA9_HUMAN_KI,Human CA9,CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,Ki,CHEMBL4761017,CHEMBL4778607,Cc1ccc(S(=O)(=O)C/C(=N\Nc2ccc(S(N)(=O)=O)cc2)c2cc3cc(Br)ccc3oc2=O)cc1,Cc1ccc(S(=O)(=O)C/C(=N\Nc2ccccc2)c2cc3cc(Br)ccc3oc2=O)cc1,7.54,5.09,2.45,0.8360655737704918,0.16393442622950816,14.945000000000006,1,0,CHEMBL4761017,CHEMBL4778607,7.54,5.09,1,1,1,1,5
CA9_HUMAN_KI,Human CA9,CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,Ki,CHEMBL412610,CHEMBL4168090,Cc1nn(-c2ccccc2)c2c1c(=O)oc1ccccc12,Cc1nn(-c2ccc(C(=O)O)cc2)c2c1c(=O)oc1ccccc12,8.02,5.71,2.3099999999999996,0.7906976744186046,0.2093023255813954,11.036666666666664,1,0,CHEMBL412610,CHEMBL4168090,8.02,5.71,1,1,1,1,6
CA9_HUMAN_KI,Human CA9,CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,Ki,CHEMBL4639447,CHEMBL4644661,Cc1cn([C@H]2C[C@H](n3cc(CCCOc4ccc5oc(=O)ccc5c4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,Cc1cn([C@H]2C[C@H](n3cc(COc4ccc5ccc(=O)oc5c4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,7.67,5.31,2.3600000000000003,0.775,0.22499999999999998,10.48888888888889,1,0,CHEMBL4639447,CHEMBL4644661,7.67,5.31,1,1,1,1,7
CA9_HUMAN_KI,Human CA9,CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,Ki,CHEMBL4756231,CHEMBL4746114,Cc1ccc(S(=O)(=O)C/C(=N\NC(=O)c2ccc(S(N)(=O)=O)cc2)c2cc3ccccc3oc2=O)cc1,O=C(N/N=C(\CS(=O)(=O)c1ccccc1)c1cc2ccccc2oc1=O)c1ccccc1,7.38,4.8,2.58,0.7457627118644068,0.2542372881355932,10.148000000000001,1,0,CHEMBL4756231,CHEMBL4746114,7.38,4.8,1,1,1,1,8
CA9_HUMAN_KI,Human CA9,CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,Ki,CHEMBL4750356,CHEMBL4778607,NS(=O)(=O)c1ccc(N/N=C(\CS(=O)(=O)c2ccccc2)c2cc3cc(Br)ccc3oc2=O)cc1,Cc1ccc(S(=O)(=O)C/C(=N\Nc2ccccc2)c2cc3cc(Br)ccc3oc2=O)cc1,7.2,5.09,2.1100000000000003,0.7903225806451613,0.20967741935483875,10.063076923076922,1,0,CHEMBL4750356,CHEMBL4778607,7.2,5.09,1,1,1,1,9
CA9_HUMAN_KI,Human CA9,CHEMBL3594,Carbonic anhydrase 9,Homo sapiens,Ki,CHEMBL4761017,CHEMBL4760827,Cc1ccc(S(=O)(=O)C/C(=N\Nc2ccc(S(N)(=O)=O)cc2)c2cc3cc(Br)ccc3oc2=O)cc1,O=c1oc2ccc(Br)cc2cc1/C(CS(=O)(=O)c1ccccc1)=N/Nc1ccccc1,7.54,5.33,2.21,0.7258064516129032,0.27419354838709675,8.06,1,0,CHEMBL4761017,CHEMBL4760827,7.54,5.33,1,1,1,1,10
MAOB_HUMAN_IC50,Human MAO-B,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,IC50,CHEMBL488074,CHEMBL488075,C=C(Br)COc1ccc2c3c(c(=O)oc2c1C)CCC3,C=C(Br)COc1ccc2c3c(c(=O)oc2c1C)CCCC3,8.93,6.63,2.3,0.9545454545454546,0.045454545454545414,50.600000000000044,1,0,CHEMBL488074,CHEMBL488075,8.93,6.63,1,1,1,1,1
MAOB_HUMAN_IC50,Human MAO-B,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,IC50,CHEMBL488076,CHEMBL488073,CC(=O)COc1ccc2c3c(c(=O)oc2c1C)CCC3,CC(=O)COc1ccc2c3c(c(=O)oc2c1C)CCCC3,6.78,4.76,2.0200000000000005,0.9523809523809523,0.04761904761904767,42.41999999999996,1,0,CHEMBL488076,CHEMBL488073,6.78,4.76,1,1,1,1,2
MAOB_HUMAN_IC50,Human MAO-B,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,IC50,CHEMBL3121784,CHEMBL3121774,C#CCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,C#CCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,8.85,6.59,2.26,0.875,0.125,18.08,1,0,CHEMBL3121784,CHEMBL3121774,8.85,6.59,1,1,1,1,3
MAOB_HUMAN_IC50,Human MAO-B,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,IC50,CHEMBL4097867,CHEMBL4213345,Cc1cc(=O)oc2cc(OCc3ccc(Br)cc3)ccc12,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccc(Br)cc4)cc3)ccc12.[Br-],9.05,5.41,3.6400000000000006,0.7959183673469388,0.20408163265306123,17.836000000000002,1,0,CHEMBL4097867,CHEMBL4213345,9.05,5.41,1,1,1,1,4
MAOB_HUMAN_IC50,Human MAO-B,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,IC50,CHEMBL1835228,CHEMBL1783714,Cc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1,Cc1ccc2oc(=O)c(-c3ccccc3)cc2c1,9.51,6.55,2.96,0.8181818181818182,0.18181818181818177,16.280000000000005,1,0,CHEMBL1835228,CHEMBL1783714,9.51,6.55,3,3,3,3,5
MAOB_HUMAN_IC50,Human MAO-B,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,IC50,CHEMBL487235,CHEMBL488072,C=C(Br)COc1ccc2c(oc(=O)c3ccccc32)c1C,CC(=O)COc1ccc2c(oc(=O)c3ccccc32)c1C,8.83,4.55,4.28,0.7333333333333333,0.2666666666666667,16.049999999999997,1,0,CHEMBL487235,CHEMBL488072,8.83,4.55,1,1,1,1,6
MAOB_HUMAN_IC50,Human MAO-B,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,IC50,CHEMBL1835228,CHEMBL577099,Cc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1,Cc1ccc2oc(=O)c(-c3ccc(O)cc3)cc2c1,9.51,6.81,2.7,0.8235294117647058,0.17647058823529416,15.299999999999997,1,0,CHEMBL1835228,CHEMBL577099,9.51,6.81,3,2,3,2,7
MAOB_HUMAN_IC50,Human MAO-B,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,IC50,CHEMBL494808,CHEMBL3261209,Cc1cccc(NC(=O)c2cc3cc(C)ccc3oc2=O)c1,Cc1cccc(NC(=O)c2cc3cc([N+](=O)[O-])ccc3oc2=O)c1,8.12,4.41,3.709999999999999,0.7551020408163265,0.24489795918367352,15.14916666666666,1,0,CHEMBL494808,CHEMBL3261209,8.12,4.41,1,1,1,1,8
MAOB_HUMAN_IC50,Human MAO-B,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,IC50,CHEMBL488074,CHEMBL488073,C=C(Br)COc1ccc2c3c(c(=O)oc2c1C)CCC3,CC(=O)COc1ccc2c3c(c(=O)oc2c1C)CCCC3,8.93,4.76,4.17,0.7142857142857143,0.2857142857142857,14.595,1,0,CHEMBL488074,CHEMBL488073,8.93,4.76,1,1,1,1,9
MAOB_HUMAN_IC50,Human MAO-B,CHEMBL2039,Amine oxidase [flavin-containing] B,Homo sapiens,IC50,CHEMBL145503,CHEMBL4205110,Cc1cc(=O)oc2cc(OCc3cccc([N+](=O)[O-])c3)ccc12,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4cccc([N+](=O)[O-])c4)cc3)ccc12.[Br-],8.49,5.54,2.95,0.7894736842105263,0.21052631578947367,14.012500000000001,1,0,CHEMBL145503,CHEMBL4205110,8.49,5.54,1,1,1,1,10
