compound_id,UMAP1,UMAP2
CHEMBL4582292,10.9328575,2.1985726
CHEMBL3586596,8.968048,0.47925827
CHEMBL3957654,5.163267,9.669703
CHEMBL224228,7.7624903,-0.5974516
CHEMBL3235992,7.552417,2.0748858
CHEMBL4534641,5.783606,-9.658014
CHEMBL4745131,8.824118,-0.19148815
CHEMBL3427385,6.0261106,11.405325
CHEMBL488266,6.077331,5.0096135
CHEMBL1418096,10.568866,4.6328874
CHEMBL4077052,22.2996,-4.67206
CHEMBL4089608,5.2013555,-1.0984334
CHEMBL56784,10.4348545,9.9654045
CHEMBL242711,7.0790224,1.4873215
CHEMBL4085485,6.050364,7.2001004
CHEMBL4086414,6.0510073,7.161709
CHEMBL4171612,6.9383583,7.4018803
CHEMBL4103176,7.7800283,0.08955941
CHEMBL4076291,7.7933116,0.12440973
CHEMBL4440911,4.24258,10.880915
CHEMBL358206,11.805239,4.4479637
CHEMBL1423810,4.046803,4.0199347
CHEMBL4290035,6.857875,8.027201
CHEMBL4519591,4.9957447,3.2825844
CHEMBL559790,2.4724574,6.254119
CHEMBL3735572,11.133975,5.1921277
CHEMBL470619,-1.1411812,5.829903
CHEMBL470419,13.167826,1.1419019
CHEMBL590377,4.606206,3.781654
CHEMBL4095676,2.1203046,3.2981427
CHEMBL4066437,5.4098806,-1.0252941
CHEMBL3545710,1.3546374,4.401853
CHEMBL4170326,7.5123076,2.38069
CHEMBL4060402,7.4479623,-0.16997546
CHEMBL1356140,4.04102,5.8827124
CHEMBL199904,11.315032,4.7901745
CHEMBL4569990,5.2018094,-3.6060362
CHEMBL199006,2.5848987,3.9753187
CHEMBL2206120,18.020144,3.301742
CHEMBL12655,4.994026,3.3983784
CHEMBL143274,8.221026,1.0921593
CHEMBL4435611,11.303274,-8.757146
CHEMBL1096813,-1.3457601,19.069185
CHEMBL4161531,2.6098397,3.4234688
CHEMBL595128,1.6420702,3.6059551
CHEMBL4104504,13.782864,2.6947498
CHEMBL4562173,12.841876,1.7643224
CHEMBL4560024,0.05644979,4.6717286
CHEMBL1085747,3.2847633,8.950813
CHEMBL3805263,13.073711,6.5054936
CHEMBL4080474,12.871779,-7.1272798
CHEMBL205241,4.0542455,2.725987
CHEMBL4206041,3.1479409,1.9915224
CHEMBL575734,2.6999505,1.2119747
CHEMBL4205688,10.399306,9.929976
CHEMBL4094724,7.3981204,8.83278
CHEMBL275000,4.5168915,3.3897822
CHEMBL1546837,8.089381,0.5170817
CHEMBL3586598,8.919989,0.4409552
CHEMBL4128061,-3.4252093,0.061401512
CHEMBL1547311,6.502434,4.6720204
CHEMBL4455031,7.777333,0.08618063
CHEMBL4098946,6.4843106,8.605251
CHEMBL1501635,4.059133,3.4179702
CHEMBL1594071,4.554222,4.983007
CHEMBL3112626,8.042129,1.1337479
CHEMBL2206122,18.029226,3.312936
CHEMBL4519227,14.844137,2.426269
CHEMBL2177255,-1.4367448,5.9618416
CHEMBL2177259,-1.4233391,5.963816
CHEMBL4475910,15.826267,2.1756837
CHEMBL4164540,4.6700583,-0.6126557
CHEMBL118629,7.5486913,0.6004918
CHEMBL4079843,2.3338516,3.2096062
CHEMBL4743791,8.221513,1.1071534
CHEMBL1414254,11.886133,4.800561
CHEMBL1307271,6.311351,8.21202
CHEMBL4800433,3.5899136,0.7910211
CHEMBL3735165,11.3698635,4.9972367
CHEMBL2178989,2.142712,2.9165955
CHEMBL2178993,2.244726,2.6265123
CHEMBL3359958,8.837658,11.079992
CHEMBL4094745,2.2245843,3.3517568
CHEMBL1165089,14.611899,3.1920795
CHEMBL265805,4.4728174,-1.3156474
CHEMBL3586580,1.5262262,3.3967097
CHEMBL1835821,8.264462,1.0402615
CHEMBL1688905,8.705912,10.943447
CHEMBL4578898,12.976464,2.2913215
CHEMBL2381331,2.5049329,5.0271564
CHEMBL4097014,12.683288,0.986667
CHEMBL4163473,5.5798974,3.9579606
CHEMBL1835826,9.08423,-0.91525304
CHEMBL2178425,2.3200107,2.5303514
CHEMBL5556483,13.071795,5.790109
CHEMBL1347672,5.1194625,3.1092234
CHEMBL5542159,13.034231,5.7667875
CHEMBL4285316,12.9867325,9.542321
CHEMBL5566405,13.330367,11.6524
CHEMBL4281430,12.984174,9.539586
CHEMBL4162187,4.8394494,2.4994307
CHEMBL601217,16.350266,-2.410884
CHEMBL2164283,12.859028,2.6389444
CHEMBL2048084,7.062386,7.8837028
CHEMBL2387232,3.566146,-1.6941692
CHEMBL4078055,12.23583,3.173239
CHEMBL4525381,13.526688,2.8479276
CHEMBL3819209,10.484777,4.747323
CHEMBL314095,5.8100395,-8.802123
CHEMBL409884,7.2821007,8.615483
CHEMBL4460077,5.782457,-9.567845
CHEMBL415724,11.783196,1.3565328
CHEMBL1525922,3.3524275,2.4473064
CHEMBL1491046,2.4562454,6.827976
CHEMBL213684,2.5429006,4.077476
CHEMBL204959,6.3129077,6.1293864
CHEMBL301226,10.405831,9.937434
CHEMBL204222,6.4507813,6.1618915
CHEMBL2158358,5.6321816,0.2817185
CHEMBL1376094,2.08196,3.1331558
CHEMBL4781945,15.658619,4.4141335
CHEMBL380358,6.307378,6.149676
CHEMBL4483030,5.783765,-9.67729
CHEMBL2115263,7.820501,8.273953
CHEMBL508648,7.106172,1.6252307
CHEMBL213285,2.0404658,3.6267838
CHEMBL214255,8.078412,0.38657007
CHEMBL203793,4.630667,1.4784538
CHEMBL1529584,3.9794788,5.881864
CHEMBL2047525,0.36076546,3.5557156
CHEMBL4592519,5.868168,-0.18287943
CHEMBL213955,9.525909,0.693909
CHEMBL213141,13.414495,1.517031
CHEMBL1351704,12.938763,0.49820304
CHEMBL5399314,5.648899,4.67176
CHEMBL470222,13.129024,1.096936
CHEMBL5437540,8.278558,0.5008364
CHEMBL179641,3.493573,8.768446
CHEMBL6843,1.0301201,-3.220081
CHEMBL3759162,4.9752374,3.3016293
CHEMBL4533647,10.452671,4.7790093
CHEMBL1519351,4.6296234,4.738489
CHEMBL5424392,11.479046,4.3671074
CHEMBL1554968,4.302111,5.6728215
CHEMBL4791335,7.202991,7.7923365
CHEMBL1507250,13.088256,1.0830451
CHEMBL571738,8.2521515,-0.43005595
CHEMBL1835232,11.145403,4.8322144
CHEMBL577123,12.459046,1.6811479
CHEMBL7121,14.386316,18.335333
CHEMBL568385,11.629016,1.7494444
CHEMBL4215786,6.738842,8.802129
CHEMBL1337717,12.948608,0.5948395
CHEMBL206227,6.314646,6.1294255
CHEMBL5191815,5.2494545,6.946857
CHEMBL3775682,4.9157414,3.2976372
CHEMBL1315419,3.9703207,6.3721657
CHEMBL5181100,8.550791,1.8939496
CHEMBL589158,4.6497054,3.7938159
CHEMBL567139,8.215752,-0.48809293
CHEMBL205988,6.3689218,6.204843
CHEMBL5563200,13.2844305,1.9816257
CHEMBL1927183,10.250212,5.3818254
CHEMBL191528,7.951901,0.37208042
CHEMBL204890,4.1223145,1.7485639
CHEMBL1630105,11.735306,-0.71773964
CHEMBL471221,13.105152,1.0817246
CHEMBL4448987,2.3723989,6.970307
CHEMBL5406371,6.267166,-2.1267052
CHEMBL1493014,6.477297,4.5617905
CHEMBL1511067,4.620617,3.6883824
CHEMBL512883,13.369038,1.5059344
CHEMBL1392339,11.537722,3.8375468
CHEMBL4451488,5.1514993,-3.5364525
CHEMBL446518,7.685889,2.5221257
CHEMBL205934,6.2496653,6.161293
CHEMBL150485,11.755719,4.4878993
CHEMBL1288623,7.7011256,2.491724
CHEMBL122049,7.636676,-0.97021157
CHEMBL4539801,6.96561,-3.3465993
CHEMBL513549,13.166064,1.0904438
CHEMBL1403868,6.428743,8.663989
CHEMBL1371958,5.95245,4.38464
CHEMBL495466,12.725145,1.0337838
CHEMBL2425848,13.419468,-6.8850255
CHEMBL509345,13.051834,1.1861699
CHEMBL1078442,7.167274,1.3719774
CHEMBL469818,13.080727,1.043221
CHEMBL209632,14.616507,3.1956298
CHEMBL519678,11.073905,1.1668079
CHEMBL432745,7.8042903,0.40458083
CHEMBL1484400,5.759185,4.218148
CHEMBL1095225,-1.2619594,19.15301
CHEMBL89913,5.7928667,-8.826464
CHEMBL1587159,3.5225122,6.5479546
CHEMBL1688913,8.738382,10.968744
CHEMBL1688910,8.726272,10.96481
CHEMBL387892,8.778448,10.996931
CHEMBL6441,1.0214834,-3.2285163
CHEMBL205189,4.1893373,1.8056453
CHEMBL1078189,7.149958,1.3102571
CHEMBL1312932,11.930545,6.1010704
CHEMBL1830821,11.916393,2.0537598
CHEMBL1406489,7.9647827,1.7825541
CHEMBL479894,7.5649457,1.958774
CHEMBL1477721,3.6192183,3.4846091
CHEMBL4869068,16.24824,4.5789223
CHEMBL1327635,3.6983232,2.2440736
CHEMBL1479277,4.839016,2.4996321
CHEMBL4159609,4.6759195,-0.63071406
CHEMBL273984,4.8859973,3.2303877
CHEMBL568720,6.252604,7.929692
CHEMBL191979,7.160917,8.26845
CHEMBL4175236,-1.6651706,3.7880795
CHEMBL2206128,18.03142,3.318877
CHEMBL2114278,7.8057036,8.294042
CHEMBL3977856,5.163141,9.674026
CHEMBL3827064,0.4174366,3.5689297
CHEMBL3120688,3.6223938,-1.7612613
CHEMBL1642280,11.795774,5.0215497
CHEMBL4176549,5.8046565,3.744139
CHEMBL3930613,1.6074125,-1.4277952
CHEMBL4086809,2.3926814,4.2659745
CHEMBL4869659,5.711367,20.691332
CHEMBL4764253,16.388401,4.7498827
CHEMBL4445725,16.096565,5.0706906
CHEMBL4850743,12.377335,2.8990934
CHEMBL4437031,0.043014504,4.6563563
CHEMBL4161127,4.8868227,2.540721
CHEMBL4750356,13.992474,1.1644608
CHEMBL4162493,5.8371916,3.7177854
CHEMBL4173179,5.870064,3.719827
CHEMBL4535870,5.8596864,-0.13420044
CHEMBL3806081,13.11458,6.5215745
CHEMBL4104313,2.1450717,3.4359448
CHEMBL5632673,11.882592,1.2443637
CHEMBL1504784,5.565262,6.2834225
CHEMBL3427415,6.1910644,11.615501
CHEMBL427898,5.586399,7.145065
CHEMBL3427391,6.057703,11.440372
CHEMBL4461018,6.5321255,7.1751904
CHEMBL2391491,1.5035554,15.702057
CHEMBL4079507,7.7365656,-0.028705457
CHEMBL4087725,7.73435,0.016103197
CHEMBL4451686,2.518468,-9.590717
CHEMBL3927761,9.519954,-1.2843903
CHEMBL3804879,13.107986,6.529753
CHEMBL511303,-0.9676249,5.743736
CHEMBL3805133,13.094976,6.505515
CHEMBL471448,11.042397,1.1776009
CHEMBL4853955,5.831908,20.571245
CHEMBL4564320,8.489597,-0.5186356
CHEMBL3208377,11.135233,-8.893721
CHEMBL4848538,5.673248,20.741653
CHEMBL205702,11.843139,1.3173462
CHEMBL4443680,3.5229926,8.744895
CHEMBL3093995,3.0231042,1.107701
CHEMBL1466024,3.5117738,6.444067
CHEMBL4562339,3.5109904,8.755847
CHEMBL4848638,11.538167,2.0016086
CHEMBL3735913,11.232048,5.306153
CHEMBL4446195,16.111553,5.0648093
CHEMBL3589964,16.038082,4.3264775
CHEMBL2158366,5.653705,0.26564494
CHEMBL4538661,3.5290484,8.739943
CHEMBL4538428,11.290782,-8.77044
CHEMBL2088233,7.1134815,1.1632916
CHEMBL64744,6.7557206,8.085533
CHEMBL5273293,5.6846776,8.494436
CHEMBL5575065,13.404734,1.7999077
CHEMBL3622015,2.5193095,5.062542
CHEMBL3335059,5.113572,-1.3584034
CHEMBL4092257,7.426108,8.837822
CHEMBL4074215,7.4205503,8.825473
CHEMBL4638601,2.9286556,-7.011174
CHEMBL4639447,2.911082,-7.0297284
CHEMBL4644555,2.9303725,-7.0099587
CHEMBL4466478,7.0735416,-3.4163814
CHEMBL5423982,11.856336,7.4734697
CHEMBL4455029,7.2085648,-3.2116702
CHEMBL4466718,7.0909905,-3.4308982
CHEMBL4556552,7.241624,-3.1819415
CHEMBL2178984,3.2183397,2.5871296
CHEMBL3819227,10.591644,4.6830072
CHEMBL4571763,7.2412186,-3.2018774
CHEMBL4451228,15.811775,2.1789215
CHEMBL5560830,13.41528,1.4179717
CHEMBL3763449,12.7572365,2.7118747
CHEMBL4591725,3.4532495,6.407989
CHEMBL1445449,7.8763623,0.4369491
CHEMBL4763227,7.194009,7.8023357
CHEMBL484410,11.115642,1.1565497
CHEMBL4856665,5.8653708,20.53308
CHEMBL5290552,7.100175,1.587508
CHEMBL4094178,6.042191,7.1777425
CHEMBL5087013,2.4178653,6.856223
CHEMBL262275,11.508589,-0.34265402
CHEMBL2088236,7.1219215,1.146066
CHEMBL2178452,2.476496,6.3057804
CHEMBL2314726,13.345184,3.6569023
CHEMBL5218766,23.634197,-6.8396873
CHEMBL5196422,11.558237,3.915962
CHEMBL568962,6.141473,8.060102
CHEMBL1376318,2.5252979,5.0977697
CHEMBL471447,11.079884,1.2071395
CHEMBL4761022,8.807075,-0.25949404
CHEMBL2158360,5.642157,0.2753814
CHEMBL2333943,12.585494,1.8444057
CHEMBL3121782,7.844776,0.28733897
CHEMBL4129562,3.9394097,-2.7374094
CHEMBL1947111,5.2901616,6.916567
CHEMBL590378,4.720675,4.022144
CHEMBL5288791,5.6821184,8.495917
CHEMBL3093997,3.0193534,1.0583384
CHEMBL4105601,2.1368294,3.2445674
CHEMBL508208,13.867698,2.323146
CHEMBL4177242,4.641662,-0.56902665
CHEMBL67818,11.118616,5.068749
CHEMBL3585376,12.752003,4.3873305
CHEMBL377821,4.2411685,1.8616805
CHEMBL601481,4.529462,3.384496
CHEMBL140796,7.124702,1.6804833
CHEMBL469571,11.057054,1.17051
CHEMBL509891,13.82876,2.3097947
CHEMBL1611010,7.8116403,2.4700289
CHEMBL4065291,12.314988,3.3785903
CHEMBL4584730,5.787009,-9.670276
CHEMBL3403711,-5.5271635,12.193307
CHEMBL3963507,9.055492,-0.9726152
CHEMBL3133842,-9.126554,6.9361224
CHEMBL3918835,9.5421095,-1.2111586
CHEMBL3734986,11.331196,5.0770035
CHEMBL1604112,5.6491084,4.2517962
CHEMBL4083412,12.71521,1.7918634
CHEMBL4205924,10.733999,4.4227114
CHEMBL1777849,10.76674,4.5496244
CHEMBL4087723,4.592866,1.4833448
CHEMBL512843,13.104606,1.113032
CHEMBL1546137,11.387726,-0.22869591
CHEMBL2322279,3.8379443,6.692827
CHEMBL4128369,3.847099,-2.8507054
CHEMBL1405081,4.88279,3.274048
CHEMBL143555,1.986773,3.145265
CHEMBL3298602,12.798311,1.653802
CHEMBL1339297,3.2343369,2.5050225
CHEMBL1258868,11.701563,7.860692
CHEMBL3896718,5.158066,9.676137
CHEMBL4064565,7.4265656,8.831995
CHEMBL4852184,-2.6350005,5.317624
CHEMBL5395316,6.5376153,8.10294
CHEMBL4443825,7.232546,-3.1957104
CHEMBL5421502,6.267207,-2.1325016
CHEMBL4753939,8.85256,-0.21086882
CHEMBL2164286,13.225946,1.73755
CHEMBL4749871,3.6351042,3.4198396
CHEMBL4741319,8.858754,-0.23855661
CHEMBL4794446,8.785757,-0.22588694
CHEMBL2181749,5.0211234,5.9753785
CHEMBL5081663,1.551102,3.4338293
CHEMBL5090153,2.2800605,1.6361606
CHEMBL4520442,2.693461,4.3648653
CHEMBL4081648,12.519626,1.0956459
CHEMBL5197349,20.286871,-7.272752
CHEMBL5200035,20.286886,-7.272786
CHEMBL4789923,-3.9913764,-0.5019704
CHEMBL1835830,9.038394,-0.9384603
CHEMBL1478765,11.091532,1.1722142
CHEMBL3828054,15.765849,4.0848618
CHEMBL4065375,2.4750133,4.238273
CHEMBL4441408,4.12901,11.045253
CHEMBL4176748,7.6161838,14.629557
CHEMBL3265279,5.9721704,-8.416654
CHEMBL2425835,-1.2737856,-5.712466
CHEMBL3589965,16.016912,4.2866316
CHEMBL4129780,11.780658,5.1763496
CHEMBL5199803,7.645053,14.660964
CHEMBL5195371,7.629868,14.644308
CHEMBL4126559,13.61301,1.3648558
CHEMBL5187730,7.669686,14.684946
CHEMBL2030668,13.817984,2.5552096
CHEMBL4072815,11.131738,-8.901464
CHEMBL4080910,6.812828,8.807452
CHEMBL2178433,2.461958,2.4677224
CHEMBL3086068,10.981513,14.633289
CHEMBL4070271,6.434394,8.614319
CHEMBL602269,16.32878,-2.4223886
CHEMBL3586589,8.910168,0.4143093
CHEMBL3586604,2.6437814,1.9766598
CHEMBL406555,12.462935,1.3714399
CHEMBL578167,8.147759,-0.5476234
CHEMBL2425838,-1.2628802,-5.722295
CHEMBL12281,4.650706,3.1942017
CHEMBL2206118,18.013794,3.3005028
CHEMBL2349226,2.9460375,-6.992042
CHEMBL2322267,3.8717384,6.817912
CHEMBL1444825,4.1279163,5.350028
CHEMBL1081672,1.6524346,-5.436748
CHEMBL4160205,17.837248,12.861586
CHEMBL3946113,9.250245,-1.467005
CHEMBL1558455,10.94766,14.641568
CHEMBL380838,6.452129,6.127609
CHEMBL2048092,12.972506,6.0139384
CHEMBL256699,11.1866,2.3763564
CHEMBL1830792,12.246632,2.5599809
CHEMBL320251,1.9863447,3.2248697
CHEMBL3087902,13.70382,3.0944448
CHEMBL270722,5.185463,3.3291028
CHEMBL5088775,4.17422,5.3718734
CHEMBL575735,2.7244244,1.26471
CHEMBL48205,4.515487,-1.348226
CHEMBL3092182,11.236844,14.401795
CHEMBL3586606,9.105485,0.56243426
CHEMBL2387250,4.4578094,-1.6432767
CHEMBL3094036,2.6324785,0.8521463
CHEMBL2177251,-1.4464406,5.943483
CHEMBL4636566,15.332008,1.7910138
CHEMBL3976407,5.1622043,9.6717615
CHEMBL3286943,5.3786464,-0.6791937
CHEMBL3759775,5.018778,3.3331325
CHEMBL4070807,22.290789,-4.6636715
CHEMBL178969,3.3285968,8.903426
CHEMBL4068321,8.591454,0.3946474
CHEMBL3094003,2.9062078,0.73666006
CHEMBL3760002,11.4652405,4.5127854
CHEMBL600805,16.3482,-2.4156806
CHEMBL380375,2.0522208,3.651268
CHEMBL340669,8.145696,-0.5246973
CHEMBL5085674,6.94882,-3.3707108
CHEMBL4161232,-1.6329736,3.837316
CHEMBL1917495,6.6506777,8.0179
CHEMBL3896376,5.1624665,9.670808
CHEMBL2387744,-1.0524906,5.980078
CHEMBL600197,16.327358,-2.4266968
CHEMBL3785101,11.85921,7.6998973
CHEMBL3786236,11.816798,7.7360954
CHEMBL3893493,1.6322427,-1.4121099
CHEMBL4436668,5.776224,-9.452775
CHEMBL1288620,7.699705,2.4868884
CHEMBL4162192,7.611001,14.62099
CHEMBL2178438,2.2250872,2.6701994
CHEMBL179863,3.8576257,3.2226732
CHEMBL4127437,3.437497,2.4904478
CHEMBL150372,11.572835,4.0199294
CHEMBL4758921,16.448273,4.7613673
CHEMBL4170761,-1.634711,3.8322527
CHEMBL4169152,-1.6266344,3.842553
CHEMBL194564,-2.5771408,8.071794
CHEMBL206600,6.3671207,6.0531116
CHEMBL4088796,6.499896,8.597434
CHEMBL1454848,13.01491,5.898473
CHEMBL1288594,7.664007,2.4220498
CHEMBL1835326,11.339328,5.0567904
CHEMBL1351708,11.786832,4.483821
CHEMBL1426896,7.805506,2.3749661
CHEMBL3818635,10.473363,4.7517962
CHEMBL4075025,5.137643,4.444144
CHEMBL576412,4.347715,2.3427308
CHEMBL238633,12.998067,1.5208948
CHEMBL4078955,2.448508,4.2355614
CHEMBL1729831,6.1211424,-1.037263
CHEMBL4206431,10.616514,4.3486514
CHEMBL3924332,9.52796,-1.9632732
CHEMBL4436185,16.08944,5.0586543
CHEMBL3113645,11.471036,-0.2518566
CHEMBL2375688,6.320935,6.97998
CHEMBL2359574,8.462532,0.65462303
CHEMBL1343305,4.450654,5.9040227
CHEMBL3094133,2.3773496,1.0958772
CHEMBL4081953,14.1304035,1.8791263
CHEMBL1272019,11.08443,2.555069
CHEMBL264756,5.246959,-1.6107771
CHEMBL3746086,-6.6315107,8.496462
CHEMBL4171890,8.215324,0.11641042
CHEMBL605407,4.539373,3.3619387
CHEMBL609568,5.5835333,6.25476
CHEMBL1538873,7.827953,2.3758233
CHEMBL2393499,5.826256,-0.18603559
CHEMBL4208881,-4.488672,6.4307003
CHEMBL4211814,-4.4866443,6.4277306
CHEMBL4094117,4.2097754,2.3382573
CHEMBL1335052,11.623195,5.0646834
CHEMBL1329419,5.0693994,3.1611235
CHEMBL3220513,12.727277,0.39887944
CHEMBL4127564,3.9633806,-2.712638
CHEMBL481657,8.105675,1.6065345
CHEMBL5851456,5.823543,2.9887226
CHEMBL5836483,6.1238866,3.3361232
CHEMBL4747633,16.39585,4.899053
CHEMBL4750478,16.343971,4.9196
CHEMBL4438430,5.784177,-9.672834
CHEMBL4442347,0.07090489,4.6783586
CHEMBL3417311,0.7567516,15.478934
CHEMBL1612391,9.870999,4.066937
CHEMBL5194812,4.745056,3.569169
CHEMBL1480899,4.4294996,5.9226456
CHEMBL4570780,15.811702,2.1727502
CHEMBL2387267,3.5332956,-1.6792272
CHEMBL4088382,12.18275,3.0390463
CHEMBL3335071,5.124891,-1.4323214
CHEMBL4208928,12.476949,1.6206697
CHEMBL4450067,3.5787902,3.484871
CHEMBL4474002,11.930701,2.303871
CHEMBL3928231,9.281172,-1.4577168
CHEMBL122140,7.6187034,-0.9669267
CHEMBL1968646,6.631539,8.037118
CHEMBL592759,4.5220895,3.4799557
CHEMBL4093982,5.2949796,-1.1506574
CHEMBL4060398,2.1171646,3.1944988
CHEMBL3093994,3.0437524,1.1239002
CHEMBL4067432,5.2089,-1.2042084
CHEMBL4537667,10.408984,4.3075547
CHEMBL4468869,10.515081,4.826666
CHEMBL4210766,-4.471485,6.424402
CHEMBL3335065,5.1215286,-1.372643
CHEMBL3908386,1.6742043,-1.3521748
CHEMBL4438807,11.370179,-8.697095
CHEMBL4570423,11.352771,-8.708213
CHEMBL3120685,4.5037293,-1.6979836
CHEMBL3121791,3.3287988,1.9664987
CHEMBL4751341,13.994137,1.1592935
CHEMBL3961395,1.6476414,-1.3976512
CHEMBL3120687,4.515219,-1.7250093
CHEMBL3322160,-3.4311473,0.05554532
CHEMBL3086066,10.972356,14.639119
CHEMBL3087903,13.725103,3.1422865
CHEMBL4467593,11.116936,5.4728208
CHEMBL82742,7.0891542,8.292329
CHEMBL3286948,5.731537,-0.71706384
CHEMBL7840,14.387169,18.337355
CHEMBL3235994,7.5930247,2.0708058
CHEMBL4642621,4.88375,2.5692852
CHEMBL2178985,3.0899332,2.700997
CHEMBL4874085,10.679833,3.8109622
CHEMBL2178982,3.1470459,2.5732608
CHEMBL2408080,24.327263,4.4374485
CHEMBL2408077,24.3154,4.4252543
CHEMBL4636601,-0.9732421,5.726354
CHEMBL1510940,11.630678,2.1386805
CHEMBL3586578,1.5090342,3.4538329
CHEMBL337005,11.786706,1.3598717
CHEMBL2322283,3.9105387,6.8110933
CHEMBL5631607,11.944526,1.2294811
CHEMBL4463800,6.98314,8.836917
CHEMBL5091340,4.299143,5.512331
CHEMBL1310438,4.3506503,2.302145
CHEMBL4456360,6.0014668,6.2058296
CHEMBL4530941,11.301666,-8.758628
CHEMBL4213874,3.1149979,2.001192
CHEMBL4205110,3.1671522,2.073019
CHEMBL1362201,5.972804,0.008497262
CHEMBL5394729,5.6232605,4.6786747
CHEMBL4073330,4.4304886,-1.5511953
CHEMBL2164284,13.236151,2.0106122
CHEMBL3629814,15.665086,0.32165942
CHEMBL1337913,20.164904,2.205516
CHEMBL5281518,-2.212596,-2.8541856
CHEMBL3629810,15.668599,0.31942654
CHEMBL2322558,3.7702293,6.666392
CHEMBL3819219,8.489992,-7.76364
CHEMBL4643649,4.263362,1.566628
CHEMBL1083624,3.2313974,8.993236
CHEMBL4081886,4.5618753,6.257437
CHEMBL4070331,11.065589,2.6160746
CHEMBL459825,8.008777,1.7509811
CHEMBL4746701,13.997417,1.1512802
CHEMBL4760827,14.014481,1.1451776
CHEMBL4578097,0.057772953,4.669909
CHEMBL1547867,3.5212739,6.5601864
CHEMBL1489711,3.8205023,2.6763356
CHEMBL4099068,23.292027,11.86395
CHEMBL226003,6.4491973,8.661013
CHEMBL204056,6.403087,6.1029983
CHEMBL4761402,16.39519,4.7286124
CHEMBL3943702,1.6359861,-1.409529
CHEMBL3326705,14.765607,13.441819
CHEMBL4452234,5.168779,-3.5738342
CHEMBL1392132,11.618234,4.4589996
CHEMBL1382826,4.034954,12.009974
CHEMBL2387231,3.5758996,-1.7159244
CHEMBL4097212,6.793921,8.822097
CHEMBL204633,4.0886087,1.7904427
CHEMBL526897,11.023702,1.1963863
CHEMBL4104918,6.778658,8.8323555
CHEMBL568417,12.194361,1.6817416
CHEMBL1448808,4.806674,3.062847
CHEMBL1593882,3.8871229,0.7117414
CHEMBL4446787,7.2196274,-3.205496
CHEMBL1559383,5.223307,2.885713
CHEMBL102071,-1.5606761,3.9143448
CHEMBL200414,11.752966,1.342985
CHEMBL23174,13.5186825,1.653335
CHEMBL1333191,20.17556,2.2180727
