molecule_chembl_id,chembl_target_degree,record_count,doi_count,year_min,year_max,pchembl_min,pchembl_max,pchembl_range,dominant_endpoint,endpoint_types,pains_alerts,target_ids,target_names,target_organisms,canonical_smiles
CHEMBL577123,13,13,2,2010,2013,4.26,7.72,3.46,Ki,IC50; Ki,none,CHEMBL2039; CHEMBL2326; CHEMBL3594; CHEMBL4789; CHEMBL261; CHEMBL2186; CHEMBL5973; CHEMBL3242; CHEMBL3969; CHEMBL3729; CHEMBL3510; CHEMBL205; ...(+1 more),"Amine oxidase [flavin-containing] B; Carbonic anhydrase 7; Carbonic anhydrase 9; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 1; Carbonic anhydrase 13; Carbonic anhydrase 15; Carbonic anhydrase 12; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 4; Carbonic anhydrase 14; Carbonic anhydrase 2; ...(+1 more)",Homo sapiens; Mus musculus,Cc1ccc2oc(=O)c(C(=O)O)cc2c1
CHEMBL578167,13,13,1,2010,2010,4.14,7.4,3.26,Ki,Ki,none,CHEMBL3510; CHEMBL2186; CHEMBL3025; CHEMBL3594; CHEMBL3969; CHEMBL5973; CHEMBL4789; CHEMBL2326; CHEMBL3729; CHEMBL3242; CHEMBL261; CHEMBL2885; ...(+1 more),"Carbonic anhydrase 14; Carbonic anhydrase 13; Carbonic anhydrase 6; Carbonic anhydrase 9; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 15; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 7; Carbonic anhydrase 4; Carbonic anhydrase 12; Carbonic anhydrase 1; Carbonic anhydrase 3; ...(+1 more)",Homo sapiens; Mus musculus,O=c1ccc2cc(C[N+]34CN5CN(CN(C5)C3)C4)ccc2o1.[Cl-]
CHEMBL444449,12,25,6,2006,2023,5.0,8.7,3.7,IC50,EC50; IC50,none,CHEMBL4633; CHEMBL4306; CHEMBL2309; CHEMBL4205; CHEMBL2773; CHEMBL5279; CHEMBL2086; CHEMBL4304; CHEMBL240; CHEMBL4469; CHEMBL2369; CHEMBL4305,Potassium voltage-gated channel subfamily A member 3; Potassium voltage-gated channel subfamily A member 5; Potassium voltage-gated channel subfamily A member 1; Potassium voltage-gated channel subfamily A member 4; Potassium voltage-gated channel subfamily A member 7; Potassium voltage-gated channel subfamily A member 6; Potassium voltage-gated channel subfamily A member 2; Calcium-activated potassium channel subunit alpha-1; Voltage-gated inwardly rectifying potassium channel KCNH2; Small conductance calcium-activated potassium channel protein 2; Small conductance calcium-activated potassium channel protein 1; Intermediate conductance calcium-activated potassium channel protein 4,Homo sapiens,O=c1ccc2c(OCCCCOc3ccccc3)c3ccoc3cc2o1
CHEMBL244743,12,13,7,2005,2021,4.08,8.03,3.95,IC50,Ki; IC50; AC50,catechol_A(92),CHEMBL3242; CHEMBL3594; CHEMBL4361; CHEMBL3774295; CHEMBL1929; CHEMBL5939; CHEMBL340; CHEMBL3356; CHEMBL5362; CHEMBL221; CHEMBL1900; CHEMBL2275,Carbonic anhydrase 12; Carbonic anhydrase 9; Induced myeloid leukemia cell differentiation protein Mcl-1; Lysine-specific demethylase 5B; Xanthine dehydrogenase/oxidase; Endoplasmic reticulum aminopeptidase 1; Cytochrome P450 3A4; Cytochrome P450 1A2; Sortase A; Prostaglandin G/H synthase 1; Aldo-keto reductase family 1 member B1; Sorbitol dehydrogenase,Homo sapiens; Staphylococcus aureus,O=c1ccc2cc(O)c(O)cc2o1
CHEMBL71851,12,13,5,2007,2021,4.13,6.02,1.89,Ki,Ki; AC50; IC50,none,CHEMBL3594; CHEMBL3242; CHEMBL1741189; CHEMBL3356; CHEMBL5939; CHEMBL2326; CHEMBL261; CHEMBL4361; CHEMBL4358; CHEMBL3912; CHEMBL4078; CHEMBL1900,Carbonic anhydrase 9; Carbonic anhydrase 12; FAD-linked sulfhydryl oxidase ALR; Cytochrome P450 1A2; Endoplasmic reticulum aminopeptidase 1; Carbonic anhydrase 7; Carbonic anhydrase 1; Induced myeloid leukemia cell differentiation protein Mcl-1; Polyunsaturated fatty acid lipoxygenase ALOX15; Carbonic anhydrase 13; Acetylcholinesterase; Aldo-keto reductase family 1 member B1,Homo sapiens; Oryctolagus cuniculus; Electrophorus electricus,COc1cc2ccc(=O)oc2cc1O
CHEMBL191528,12,12,2,2010,2023,4.08,6.0,1.92,Ki,Ki; IC50,none,CHEMBL5973; CHEMBL2186; CHEMBL2326; CHEMBL3356; CHEMBL3242; CHEMBL3510; CHEMBL3969; CHEMBL3594; CHEMBL4789; CHEMBL261; CHEMBL3729; CHEMBL3025,"Carbonic anhydrase 15; Carbonic anhydrase 13; Carbonic anhydrase 7; Cytochrome P450 1A2; Carbonic anhydrase 12; Carbonic anhydrase 14; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 9; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 1; Carbonic anhydrase 4; Carbonic anhydrase 6",Mus musculus; Homo sapiens,CCOc1ccc2ccc(=O)oc2c1
CHEMBL49732,12,12,2,2010,2010,4.02,5.62,1.6,Ki,Ki; IC50,none,CHEMBL2326; CHEMBL4789; CHEMBL3025; CHEMBL261; CHEMBL5973; CHEMBL3729; CHEMBL3510; CHEMBL2186; CHEMBL3242; CHEMBL3594; CHEMBL1900; CHEMBL2885,"Carbonic anhydrase 7; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 6; Carbonic anhydrase 1; Carbonic anhydrase 15; Carbonic anhydrase 4; Carbonic anhydrase 14; Carbonic anhydrase 13; Carbonic anhydrase 12; Carbonic anhydrase 9; Aldo-keto reductase family 1 member B1; Carbonic anhydrase 3",Homo sapiens; Mus musculus,COc1ccc2ccc(=O)oc2c1
CHEMBL567544,12,12,1,2010,2010,4.35,5.8,1.45,Ki,Ki,none,CHEMBL4789; CHEMBL3594; CHEMBL3969; CHEMBL2186; CHEMBL3242; CHEMBL3510; CHEMBL2885; CHEMBL5973; CHEMBL261; CHEMBL3729; CHEMBL205; CHEMBL2326,"Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 9; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 13; Carbonic anhydrase 12; Carbonic anhydrase 14; Carbonic anhydrase 3; Carbonic anhydrase 15; Carbonic anhydrase 1; Carbonic anhydrase 4; Carbonic anhydrase 2; Carbonic anhydrase 7",Homo sapiens; Mus musculus,O=c1ccc2ccc(CCc3ccccc3)cc2o1
CHEMBL568416,12,12,1,2010,2010,4.19,7.23,3.04,Ki,Ki,none,CHEMBL261; CHEMBL3510; CHEMBL4789; CHEMBL3594; CHEMBL3242; CHEMBL5973; CHEMBL2186; CHEMBL2885; CHEMBL3969; CHEMBL205; CHEMBL2326; CHEMBL3025,"Carbonic anhydrase 1; Carbonic anhydrase 14; Carbonic anhydrase 5A, mitochondrial; Carbonic anhydrase 9; Carbonic anhydrase 12; Carbonic anhydrase 15; Carbonic anhydrase 13; Carbonic anhydrase 3; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 2; Carbonic anhydrase 7; Carbonic anhydrase 6",Homo sapiens; Mus musculus,COc1ccc2oc(=O)c(C(=O)O)cc2c1
CHEMBL568417,12,12,1,2010,2010,4.37,5.51,1.14,Ki,Ki,none,CHEMBL2186; CHEMBL205; CHEMBL3510; CHEMBL3594; CHEMBL3242; CHEMBL2885; CHEMBL5973; CHEMBL261; CHEMBL3969; CHEMBL3729; CHEMBL2326; CHEMBL3025,"Carbonic anhydrase 13; Carbonic anhydrase 2; Carbonic anhydrase 14; Carbonic anhydrase 9; Carbonic anhydrase 12; Carbonic anhydrase 3; Carbonic anhydrase 15; Carbonic anhydrase 1; Carbonic anhydrase 5B, mitochondrial; Carbonic anhydrase 4; Carbonic anhydrase 7; Carbonic anhydrase 6",Mus musculus; Homo sapiens,O=C(O)c1cc2cc(CO)ccc2oc1=O
